2021-10-02 02:56:30 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11300109 LI:#13337315   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:35 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:40 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:45 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:50 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:56:55 UTC Syncing #13337307 0x75d6…6f27     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300109 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:00 UTC Syncing #13337308 0xc5ff…04d6     0.20 blk/s   25.8 tx/s    2.3 Mgas/s      0+    9 Qed Ancient:#11300110 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:05 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11300110 LI:#13337317   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:10 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300110 LI:#13337318   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:15 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11300110 LI:#13337318   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:20 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11300110 LI:#13337319   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:25 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11300110 LI:#13337319   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:30 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11300110 LI:#13337319   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:35 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11300110 LI:#13337320   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:40 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11300110 LI:#13337320   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:45 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11300110 LI:#13337320   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:50 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11300110 LI:#13337321   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:57:55 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11300110 LI:#13337322   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:00 UTC Syncing #13337308 0xc5ff…04d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11300110 LI:#13337322   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:05 UTC Syncing #13337309 0xa8ee…c559     0.20 blk/s   77.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11300111 LI:#13337322   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:10 UTC Syncing #13337309 0xa8ee…c559     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11300111 LI:#13337322   34/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:15 UTC Syncing #13337309 0xa8ee…c559     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11300111 LI:#13337323   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:20 UTC Syncing #13337309 0xa8ee…c559     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11300111 LI:#13337325   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:25 UTC Syncing #13337310 0x2fc3…d802     0.20 blk/s   19.2 tx/s    1.9 Mgas/s      0+   17 Qed Ancient:#11300112 LI:#13337326   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:30 UTC Syncing #13337310 0x2fc3…d802     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300112 LI:#13337328   35/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:35 UTC Syncing #13337310 0x2fc3…d802     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300112 LI:#13337328   36/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:40 UTC Syncing #13337311 0x8fb1…acfd     0.20 blk/s   14.0 tx/s    1.3 Mgas/s      0+   19 Qed Ancient:#11300113 LI:#13337329   36/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:45 UTC Syncing #13337312 0xeac2…3197     0.20 blk/s   10.8 tx/s    0.8 Mgas/s      0+   19 Qed Ancient:#11300114 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:50 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300114 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:58:55 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300114 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:00 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300114 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:05 UTC Syncing #13337312 0xeac2…3197     0.20 blk/s   24.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11300115 LI:#13337330   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:10 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:15 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   34/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:20 UTC Syncing #13337312 0xeac2…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300115 LI:#13337331   33/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:25 UTC Syncing #13337313 0x74a2…b86a     0.20 blk/s   49.4 tx/s    5.8 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:30 UTC Syncing #13337313 0x74a2…b86a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:35 UTC Syncing #13337313 0x74a2…b86a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11300116 LI:#13337332   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:40 UTC Syncing #13337314 0x5484…0f74     0.20 blk/s   51.0 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#11300117 LI:#13337333   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:59:45 UTC Syncing #13337314 0x5484…0f74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11300117 LI:#13337334   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
