2021-10-02 03:11:30 UTC Syncing #13337374 0x185f…7ed1     0.40 blk/s   43.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11302840 LI:#13337382   33/50 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:35 UTC Syncing #13337375 0x4bee…8d6d     0.20 blk/s    6.0 tx/s    1.2 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   33/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:40 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   32/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:45 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11302841 LI:#13337382   34/50 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:52 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302841 LI:#13337384   34/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:11:57 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302841 LI:#13337384   32/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:00 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302841 LI:#13337385   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:05 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302841 LI:#13337385   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:10 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302841 LI:#13337386   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:15 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302841 LI:#13337386   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:20 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302841 LI:#13337387   31/50 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:25 UTC Syncing #13337375 0x4bee…8d6d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302841 LI:#13337388   31/50 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:38 UTC Syncing #13337377 0xfd1d…bbaf     0.20 blk/s   42.5 tx/s    3.9 Mgas/s      0+   11 Qed Ancient:#11302843 LI:#13337389   31/50 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:38 UTC Syncing #13337376 0xcb8b…7711     0.20 blk/s   69.6 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11302842 LI:#13337389   31/50 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:40 UTC Syncing #13337378 0xa8e1…9af4     0.20 blk/s   15.4 tx/s    1.7 Mgas/s      0+   12 Qed Ancient:#11302843 LI:#13337390   30/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:45 UTC Syncing #13337378 0xa8e1…9af4     0.20 blk/s   27.8 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#11302844 LI:#13337390   30/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:50 UTC Syncing #13337379 0xb8d8…890e     0.20 blk/s   16.2 tx/s    1.4 Mgas/s      0+   10 Qed Ancient:#11302845 LI:#13337390   30/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:12:55 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302845 LI:#13337390   30/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:00 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302845 LI:#13337390   31/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:13:05 UTC Syncing #13337379 0xb8d8…890e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302845 LI:#13337391   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
