2021-10-02 03:16:05 UTC Syncing #13337394 0x4786…13ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302864 LI:#13337404   35/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:10 UTC Syncing #13337394 0x4786…13ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302864 LI:#13337404   35/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:15 UTC Syncing #13337395 0x8c8a…6390     0.20 blk/s   51.0 tx/s    3.8 Mgas/s      0+   10 Qed Ancient:#11302865 LI:#13337405   33/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:20 UTC Syncing #13337395 0x8c8a…6390     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302865 LI:#13337405   34/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:25 UTC Syncing #13337395 0x8c8a…6390     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302865 LI:#13337405   35/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:30 UTC Syncing #13337395 0x8c8a…6390     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302865 LI:#13337405   35/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:35 UTC Syncing #13337396 0xfe45…fb69     0.20 blk/s   37.6 tx/s    3.3 Mgas/s      0+    9 Qed Ancient:#11302866 LI:#13337405   35/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:37 UTC Could not revert to previous block, last: 13337405 (0x8a16…ed4b)
2021-10-02 03:16:40 UTC Syncing #13337397 0xb7e0…4c3f     0.20 blk/s   18.4 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#11302867 LI:#13337396   34/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:45 UTC Syncing #13337397 0xb7e0…4c3f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302867 LI:#13337396   34/50 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:50 UTC Syncing #13337397 0xb7e0…4c3f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302867 LI:#13337408   34/50 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:16:55 UTC Syncing #13337398 0x9811…c9ab     0.20 blk/s   39.0 tx/s    3.4 Mgas/s      0+   11 Qed Ancient:#11302868 LI:#13337408   34/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:00 UTC Syncing #13337398 0x9811…c9ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302868 LI:#13337409   34/50 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:05 UTC Syncing #13337399 0x409c…9b61     0.20 blk/s   38.8 tx/s    2.5 Mgas/s      0+   11 Qed Ancient:#11302869 LI:#13337409   34/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:10 UTC Syncing #13337399 0x409c…9b61     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302869 LI:#13337410   34/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:15 UTC Syncing #13337399 0x409c…9b61     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302869 LI:#13337410   35/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:20 UTC Syncing #13337399 0x409c…9b61     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11302869 LI:#13337410   35/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:25 UTC Syncing #13337399 0x409c…9b61     0.20 blk/s   71.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11302870 LI:#13337410   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:30 UTC Syncing #13337399 0x409c…9b61     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302870 LI:#13337410   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:35 UTC Syncing #13337399 0x409c…9b61     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11302870 LI:#13337410   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:38 UTC Reorg to #13337400 0x8ac2…ceb2 (0x409c…9b61 #13337398 0x9811…c9ab 0x5ae0…e268)
2021-10-02 03:17:40 UTC Syncing #13337400 0x8ac2…ceb2     0.20 blk/s   38.8 tx/s    3.9 Mgas/s      0+   10 Qed Ancient:#11302871 LI:#13337410   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:45 UTC Syncing #13337402 0x97dd…a439     0.40 blk/s   21.2 tx/s    1.3 Mgas/s      0+    9 Qed Ancient:#11302873 LI:#13337411   36/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:50 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302873 LI:#13337411   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:17:55 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11302873 LI:#13337411   36/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:00 UTC Syncing #13337402 0x97dd…a439     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11302873 LI:#13337412   37/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
