2021-09-22 00:15:30 UTC Syncing #13272300 0x108b…c91c     0.20 blk/s   17.8 tx/s    1.5 Mgas/s      0+    9 Qed Ancient:#5591849 LI:#13272310   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:15:37 UTC Syncing #13272301 0xc703…150c     0.12 blk/s    6.8 tx/s    0.7 Mgas/s      0+    9 Qed Ancient:#5591854 LI:#13272311   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:15:39 UTC Syncing #13272301 0xc703…150c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591854 LI:#13272312   15/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:15:53 UTC Syncing #13272301 0xc703…150c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591854 LI:#13272312   17/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:15:58 UTC Syncing #13272301 0xc703…150c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591854 LI:#13272312   15/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:15:59 UTC Syncing #13272301 0xc703…150c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591854 LI:#13272312   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:04 UTC Syncing #13272302 0x1a03…ac9c     0.20 blk/s   56.4 tx/s    4.9 Mgas/s      0+   10 Qed Ancient:#5591855 LI:#13272313   16/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:09 UTC Syncing #13272302 0x1a03…ac9c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591855 LI:#13272313   17/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:15 UTC Syncing #13272303 0x57a6…96d4     0.20 blk/s   18.8 tx/s    1.7 Mgas/s      0+    9 Qed Ancient:#5591856 LI:#13272313   20/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:38 UTC Syncing #13272304 0x3a2d…a2d4     0.06 blk/s    3.3 tx/s    0.3 Mgas/s      0+   10 Qed Ancient:#5591858 LI:#13272315   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:38 UTC Syncing #13272304 0x3a2d…a2d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591858 LI:#13272315   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:45 UTC Syncing #13272304 0x3a2d…a2d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591858 LI:#13272315   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:16:50 UTC Syncing #13272305 0xc153…b1f4     0.21 blk/s   77.2 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#5591859 LI:#13272315   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
