2021-07-28 14:27:05 UTC Syncing #12914933 0x8a4a…09bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050434 LI:#12914940    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:10 UTC Syncing #12914933 0x8a4a…09bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050434 LI:#12914940   10/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:15 UTC Syncing #12914934 0x5db8…bda1     0.20 blk/s   39.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7050435 LI:#12914941   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:20 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:25 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:30 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:35 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942    7/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:40 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942    7/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:45 UTC Syncing #12914934 0x5db8…bda1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7050435 LI:#12914942    6/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:27:50 UTC Syncing #12914935 0x0553…9f1b     0.20 blk/s   39.4 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#7050436 LI:#12914942    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
