$ python realistic_failures.py -h http://13.80.15.244:9090 --start=2021-04-27T14:00:00Z --end=2021-04-28T14:00:00Z
WARNING:root:You didn't specify query resolution step width, will use default value 15s

+-------------------+--------------+------------------+----------------------+------------------------------+------------------------+--------------------------------------------------------+
|    Syscall Name   |  Error Code  | Samples in Total | Invocations in Total |         Failure Rate         |        Variance        |                        Samples                         |
|     newfstatat    |    ENOENT    |       124        |          1           | 0.250000, 0.386982, 1.000000 |  0.03496273457353806   | localtime: 2021-04-27 16:00:15, failure rate: 0.500000 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:29:45, failure rate: 1.000000 |
|     newfstatat    |   SUCCESS    |        -         |          3           |              -               |           -            |                           -                            |
|       openat      |    ENOENT    |        83        |          83          | 0.001095, 0.108191, 0.500000 |  0.024835442595744123  | localtime: 2021-04-27 21:10:45, failure rate: 0.002155 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 02:37:00, failure rate: 0.001919 |
|       openat      |    ENOENT    |       120        |          83          | 0.001095, 0.221677, 0.500000 |  0.030523729054332475  | localtime: 2021-04-27 16:00:00, failure rate: 0.500000 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:29:30, failure rate: 0.166667 |
|       openat      |   SUCCESS    |        -         |          8           |              -               |           -            |                           -                            |
|       ppoll       |   SUCCESS    |        -         |         242          |              -               |           -            |                           -                            |
|        read       |    EAGAIN    |        1         |         7143         | 0.346361, 0.346361, 0.346361 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.346361 |
|        read       |    EAGAIN    |       1084       |         7143         | 0.308297, 0.328558, 0.347989 | 0.00019231588116997415 | localtime: 2021-04-27 16:00:00, failure rate: 0.338788 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:30:45, failure rate: 0.340058 |
|        read       |    EAGAIN    |       4553       |         7143         | 0.299738, 0.328706, 0.365022 | 0.0005508297440273948  | localtime: 2021-04-27 21:02:00, failure rate: 0.008040 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 16:00:00, failure rate: 0.321224 |
|        read       |  ECONNRESET  |        5         |          78          | 0.000026, 0.000028, 0.000031 | 5.177209213457116e-12  | localtime: 2021-04-27 16:02:30, failure rate: 0.000032 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 19:26:15, failure rate: 0.000026 |
|        read       |  ECONNRESET  |        73        |          78          | 0.000026, 0.000389, 0.000507 | 6.116594253619247e-06  | localtime: 2021-04-27 21:04:15, failure rate: 0.021277 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 14:59:30, failure rate: 0.000038 |
|        read       |   SUCCESS    |        -         |        13480         |              -               |           -            |                           -                            |
|      recvfrom     |    EAGAIN    |        1         |          2           | 0.500000, 0.500000, 0.500000 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.500000 |
|      recvfrom     |    EAGAIN    |       1082       |          2           | 0.411765, 0.489452, 0.500000 |  0.000822347473425154  | localtime: 2021-04-27 16:00:00, failure rate: 0.500000 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:30:45, failure rate: 0.500000 |
|      recvfrom     |    EAGAIN    |       4535       |          2           | 0.400000, 0.483148, 0.500000 | 0.0012538009993641884  | localtime: 2021-04-27 21:02:00, failure rate: 0.299363 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 16:00:00, failure rate: 0.500000 |
|      recvfrom     | ECONNREFUSED |        1         |          1           | 0.006369, 0.006369, 0.006369 |          0.0           | localtime: 2021-04-27 21:02:00, failure rate: 0.006369 |
|      recvfrom     |   SUCCESS    |        -         |          2           |              -               |           -            |                           -                            |
|      recvmsg      |   SUCCESS    |        -         |         209          |              -               |           -            |                           -                            |
|   rt_sigpending   |   SUCCESS    |        -         |         231          |              -               |           -            |                           -                            |
|    rt_sigreturn   |   SUCCESS    |        -         |         341          |              -               |           -            |                           -                            |
|   sched_getparam  |   SUCCESS    |        -         |         225          |              -               |           -            |                           -                            |
|       shmctl      |   SUCCESS    |        -         |         258          |              -               |           -            |                           -                            |
|   timer_settime   |   SUCCESS    |        -         |         232          |              -               |           -            |                           -                            |
|  timerfd_gettime  |   SUCCESS    |        -         |         216          |              -               |           -            |                           -                            |
|       umask       |   SUCCESS    |        -         |         212          |              -               |           -            |                           -                            |
|       uname       |   SUCCESS    |        -         |         239          |              -               |           -            |                           -                            |
|      unlinkat     |    EISDIR    |        1         |          2           | 0.285714, 0.285714, 0.285714 |          0.0           | localtime: 2021-04-27 20:31:00, failure rate: 0.285714 |
|      unlinkat     |    EISDIR    |        5         |          2           | 0.004521, 0.185370, 0.333333 |  0.022593157210703523  | localtime: 2021-04-27 16:05:15, failure rate: 0.333333 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-27 20:05:15, failure rate: 0.333333 |
|      unlinkat     |    EISDIR    |        18        |          2           | 0.004839, 0.183311, 0.333333 |   0.0254432621828684   | localtime: 2021-04-27 22:02:00, failure rate: 0.005236 |
|                   |              |                  |                      |                              |                        | localtime: 2021-04-28 15:02:00, failure rate: 0.333333 |
