2021-07-28 16:02:31 UTC Syncing #12915338 0x24dd…2d32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108595 LI:#12915350   33/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:36 UTC Syncing #12915338 0x24dd…2d32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108595 LI:#12915350   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:41 UTC Syncing #12915338 0x24dd…2d32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108595 LI:#12915350   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:46 UTC Syncing #12915338 0x24dd…2d32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108595 LI:#12915350   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:51 UTC Syncing #12915339 0xc791…8043     0.20 blk/s   35.4 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108597 LI:#12915350   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:02:56 UTC Syncing #12915339 0xc791…8043     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108597 LI:#12915351   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:01 UTC Syncing #12915340 0xfaa3…91b1     0.20 blk/s   55.2 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#7108598 LI:#12915353   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:06 UTC Syncing #12915341 0xaec5…4228     0.20 blk/s   20.6 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#7108599 LI:#12915353   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:11 UTC Syncing #12915341 0xaec5…4228     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108599 LI:#12915353   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:16 UTC Syncing #12915342 0x9451…0a86     0.20 blk/s   88.6 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108600 LI:#12915353   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:21 UTC Syncing #12915342 0x9451…0a86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#7108600 LI:#12915354   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:26 UTC Syncing #12915343 0x85ec…9402     0.20 blk/s   56.8 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108601 LI:#12915354   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:03:27 UTC Reorg to #12915343 0xa86a…445c (0x85ec…9402 #12915342 0x9451…0a86 )
2021-07-28 16:03:31 UTC Syncing #12915343 0xa86a…445c     0.20 blk/s   53.8 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#7108602 LI:#12915355   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
