2021-10-02 02:17:15 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11292438 LI:#13337129   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:20 UTC Syncing #13337123 0xfce4…3189     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11292438 LI:#13337129   20/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:25 UTC Syncing #13337124 0x93bd…3455     0.20 blk/s   66.8 tx/s    4.9 Mgas/s      0+    6 Qed Ancient:#11292439 LI:#13337130   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:28 UTC Syncing #13337124 0x93bd…3455     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11292439 LI:#13337130   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:33 UTC Syncing #13337124 0x93bd…3455     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11292439 LI:#13337130   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:38 UTC Syncing #13337124 0x93bd…3455     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11292439 LI:#13337132   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:43 UTC Syncing #13337124 0x93bd…3455     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11292439 LI:#13337133   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:48 UTC Syncing #13337125 0x391d…128a     0.20 blk/s   34.0 tx/s    2.6 Mgas/s      0+    9 Qed Ancient:#11292440 LI:#13337133   24/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:53 UTC Syncing #13337125 0x391d…128a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11292440 LI:#13337134   25/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:17:57 UTC Reorg to #13337125 0xfd87…d348 (0x391d…128a #13337124 0x93bd…3455 )
