2021-10-01 19:45:02 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:02 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:06 UTC Syncing #13335405 0xe005…64af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335419    1/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:23 UTC Syncing #13335407 0x4a0b…c6da     0.40 blk/s   63.4 tx/s    4.9 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335419    1/25 peers    109 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:30 UTC Syncing #13335408 0x7cd1…d981     0.10 blk/s    8.0 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#11176750 LI:#13335420    1/25 peers    144 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:30 UTC Syncing #13335407 0x4a0b…c6da     0.20 blk/s   31.7 tx/s    2.5 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335419    1/25 peers    109 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:30 UTC Syncing #13335408 0x7cd1…d981     0.10 blk/s    8.0 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#11176750 LI:#13335420    1/25 peers    144 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:31 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11176750 LI:#13335420    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:36 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11176750 LI:#13335421    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:41 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335422    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:46 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335422    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:51 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335422    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:45:56 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335422    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:46:01 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335422    1/25 peers    144 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:46:06 UTC Syncing #13335408 0x7cd1…d981     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11176750 LI:#13335423    1/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:46:14 UTC Syncing #13335409 0x84ab…3ce6     0.20 blk/s   49.8 tx/s    5.2 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335423    4/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:46:16 UTC Syncing #13335409 0x84ab…3ce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11176750 LI:#13335423    4/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
