2021-10-01 19:37:26 UTC Syncing #13335375 0xc0fb…182c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11173445 LI:#13335387   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:36 UTC Syncing #13335376 0x26c4…b750     0.20 blk/s  111.2 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11173447 LI:#13335387   29/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:36 UTC Syncing #13335376 0x26c4…b750     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11173447 LI:#13335388   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:41 UTC Syncing #13335376 0x26c4…b750     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11173447 LI:#13335388   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:46 UTC Syncing #13335376 0x26c4…b750     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11173447 LI:#13335388   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:51 UTC Syncing #13335377 0x8c29…10ac     0.20 blk/s   94.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11173448 LI:#13335389   29/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:37:56 UTC Syncing #13335377 0x8c29…10ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173448 LI:#13335391   29/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:01 UTC Syncing #13335377 0x8c29…10ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173448 LI:#13335391   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:06 UTC Syncing #13335377 0x8c29…10ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173448 LI:#13335391   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:13 UTC Syncing #13335378 0x9af5…6b7b     0.20 blk/s   59.4 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11173449 LI:#13335391   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:20 UTC Syncing #13335379 0xab41…9886     0.20 blk/s   24.4 tx/s    1.8 Mgas/s      0+   11 Qed Ancient:#11173450 LI:#13335392   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:21 UTC Syncing #13335379 0xab41…9886     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173450 LI:#13335393   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:31 UTC Syncing #13335380 0x18a2…8ab3     0.10 blk/s   19.5 tx/s    1.6 Mgas/s      0+   13 Qed Ancient:#11173451 LI:#13335394   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:31 UTC Syncing #13335380 0x18a2…8ab3     0.20 blk/s   39.0 tx/s    3.1 Mgas/s      0+   13 Qed Ancient:#11173451 LI:#13335394   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:40 UTC Syncing #13335381 0x9801…e615     0.20 blk/s   50.6 tx/s    3.5 Mgas/s      0+   12 Qed Ancient:#11173452 LI:#13335394   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:41 UTC Syncing #13335381 0x9801…e615     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11173452 LI:#13335394   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:46 UTC Syncing #13335381 0x9801…e615     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173452 LI:#13335395   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:51 UTC Syncing #13335381 0x9801…e615     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11173452 LI:#13335395   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:38:56 UTC Syncing #13335381 0x9801…e615     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11173452 LI:#13335396   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:39:06 UTC Syncing #13335382 0x5531…0f97     0.10 blk/s   43.0 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#11173453 LI:#13335396   32/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
