2021-10-02 01:24:22 UTC Syncing #13336894 0xd90d…d80f     0.60 blk/s  101.8 tx/s    8.9 Mgas/s      0+   15 Qed Ancient:#11278135 LI:#13336911   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:31 UTC Syncing #13336895 0x078e…97fa     0.20 blk/s   12.0 tx/s    0.9 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:31 UTC Syncing #13336895 0x078e…97fa     0.10 blk/s    6.0 tx/s    0.5 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:32 UTC Syncing #13336895 0x078e…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:37 UTC Syncing #13336895 0x078e…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:42 UTC Syncing #13336895 0x078e…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:47 UTC Syncing #13336895 0x078e…97fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278136 LI:#13336911   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:54 UTC Syncing #13336896 0x77bb…2068     0.20 blk/s   50.4 tx/s    4.0 Mgas/s      0+   14 Qed Ancient:#11278137 LI:#13336911   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:24:57 UTC Syncing #13336896 0x77bb…2068     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11278137 LI:#13336911   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:07 UTC Syncing #13336897 0x465d…f09c     0.20 blk/s    8.8 tx/s    0.6 Mgas/s      0+   13 Qed Ancient:#11278139 LI:#13336911   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:07 UTC Syncing #13336897 0x465d…f09c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11278139 LI:#13336912   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:12 UTC Syncing #13336897 0x465d…f09c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278139 LI:#13336913   13/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:25:25 UTC Syncing #13336898 0xac0e…7581     0.20 blk/s   31.8 tx/s    2.8 Mgas/s      0+   14 Qed Ancient:#11278140 LI:#13336913   13/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
