2021-10-02 01:19:42 UTC Syncing #13336868 0x1c42…a48d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11278106 LI:#13336889   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:19:47 UTC Syncing #13336868 0x1c42…a48d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11278106 LI:#13336890   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:19:52 UTC Syncing #13336868 0x1c42…a48d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11278106 LI:#13336891   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:14 UTC Syncing #13336869 0xccfa…9195     0.20 blk/s   80.4 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#11278107 LI:#13336891   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:14 UTC Syncing #13336871 0xf4dd…50c7     0.16 blk/s    9.8 tx/s    0.8 Mgas/s      0+   19 Qed Ancient:#11278109 LI:#13336891   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:14 UTC Syncing #13336871 0xf4dd…50c7     0.30 blk/s   52.1 tx/s    3.9 Mgas/s      0+   19 Qed Ancient:#11278109 LI:#13336891   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:23 UTC Syncing #13336871 0xf4dd…50c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11278109 LI:#13336895   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:23 UTC Syncing #13336871 0xf4dd…50c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11278109 LI:#13336895   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:33 UTC Syncing #13336872 0x13d2…7dbe     0.20 blk/s   62.0 tx/s    4.9 Mgas/s      0+   24 Qed Ancient:#11278111 LI:#13336897   19/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:33 UTC Syncing #13336872 0x13d2…7dbe     0.10 blk/s   31.0 tx/s    2.5 Mgas/s      0+   24 Qed Ancient:#11278111 LI:#13336897   19/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:37 UTC Syncing #13336872 0x13d2…7dbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278111 LI:#13336898   18/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:52 UTC Syncing #13336873 0x84bb…adcb     0.10 blk/s   24.7 tx/s    2.0 Mgas/s      0+   24 Qed Ancient:#11278112 LI:#13336898   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:52 UTC Syncing #13336873 0x84bb…adcb     0.20 blk/s   49.4 tx/s    4.0 Mgas/s      0+   24 Qed Ancient:#11278112 LI:#13336898   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:20:52 UTC Syncing #13336873 0x84bb…adcb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278112 LI:#13336898   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:04 UTC Syncing #13336874 0xe7f3…cb74     0.10 blk/s   20.6 tx/s    1.7 Mgas/s      0+   24 Qed Ancient:#11278113 LI:#13336899   17/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:04 UTC Syncing #13336874 0xe7f3…cb74     0.20 blk/s   41.2 tx/s    3.4 Mgas/s      0+   24 Qed Ancient:#11278113 LI:#13336899   17/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:13 UTC Syncing #13336875 0x4200…cbc3     0.20 blk/s   17.4 tx/s    1.5 Mgas/s      0+   24 Qed Ancient:#11278114 LI:#13336900   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:13 UTC Syncing #13336875 0x4200…cbc3     0.10 blk/s    8.7 tx/s    0.8 Mgas/s      0+   24 Qed Ancient:#11278114 LI:#13336900   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:17 UTC Syncing #13336875 0x4200…cbc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278114 LI:#13336900   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:22 UTC Syncing #13336875 0x4200…cbc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278114 LI:#13336900   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:27 UTC Syncing #13336875 0x4200…cbc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278114 LI:#13336900   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:36 UTC Syncing #13336876 0xa67c…8ab0     0.20 blk/s   71.4 tx/s    5.5 Mgas/s      0+   23 Qed Ancient:#11278115 LI:#13336900   17/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:37 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11278115 LI:#13336900   17/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:42 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278115 LI:#13336901   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:47 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278115 LI:#13336901   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:52 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278115 LI:#13336902   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:21:57 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278115 LI:#13336902   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:13 UTC Syncing #13336876 0xa67c…8ab0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278115 LI:#13336902   22/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:13 UTC Syncing #13336877 0x6e1e…bde0     0.09 blk/s   77.5 tx/s    2.6 Mgas/s      0+   24 Qed Ancient:#11278116 LI:#13336902   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:25 UTC Syncing #13336877 0x6e1e…bde0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278116 LI:#13336902   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:25 UTC Syncing #13336877 0x6e1e…bde0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278116 LI:#13336902   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:36 UTC Syncing #13336878 0x59b8…5be1     0.63 blk/s  221.6 tx/s   19.1 Mgas/s      0+   24 Qed Ancient:#11278117 LI:#13336903   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:36 UTC Syncing #13336878 0x59b8…5be1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11278117 LI:#13336903   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:42 UTC Syncing #13336878 0x59b8…5be1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278117 LI:#13336904   19/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:22:52 UTC Syncing #13336879 0x5bb1…bba1     0.20 blk/s   49.6 tx/s    3.5 Mgas/s      0+   24 Qed Ancient:#11278118 LI:#13336904   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:00 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278118 LI:#13336905   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:23:00 UTC Syncing #13336879 0x5bb1…bba1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11278118 LI:#13336905   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
