2021-10-02 01:09:42 UTC Syncing #13336849 0xc591…55e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275141 LI:#13336855   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:47 UTC Syncing #13336850 0xb3ec…25e3     0.20 blk/s   30.0 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#11275142 LI:#13336856   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:52 UTC Syncing #13336850 0xb3ec…25e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275142 LI:#13336856   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:09:57 UTC Syncing #13336851 0xb9a4…a732     0.40 blk/s   26.6 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#11275144 LI:#13336856   20/25 peers      6 MiB chain  815 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:02 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11275144 LI:#13336857   19/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:07 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11275144 LI:#13336857   21/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:12 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11275144 LI:#13336858   21/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:17 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11275144 LI:#13336859   19/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:22 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11275144 LI:#13336859   20/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:27 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11275144 LI:#13336861   18/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:32 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11275144 LI:#13336861   20/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:10:37 UTC Syncing #13336851 0xb9a4…a732     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11275144 LI:#13336861   20/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:46 UTC Syncing #13336853 0xec5d…6b1f     0.06 blk/s   11.9 tx/s    1.1 Mgas/s      0+    8 Qed Ancient:#11275973 LI:#13336861   22/25 peers     19 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:46 UTC Syncing #13336852 0x5022…659e     0.20 blk/s   45.4 tx/s    3.9 Mgas/s      0+    9 Qed Ancient:#11275145 LI:#13336861   22/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:46 UTC Syncing #13336853 0xec5d…6b1f     0.03 blk/s    4.6 tx/s    0.4 Mgas/s      0+    8 Qed Ancient:#11275975 LI:#13336861   21/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:46 UTC Syncing #13336853 0xec5d…6b1f     0.03 blk/s    4.6 tx/s    0.4 Mgas/s      0+    8 Qed Ancient:#11275974 LI:#13336861   21/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:52 UTC Syncing #13336854 0x32aa…c10f     0.16 blk/s    4.1 tx/s    0.2 Mgas/s      0+    9 Qed Ancient:#11275977 LI:#13336865   18/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:11:57 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11275977 LI:#13336865   17/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:02 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11275977 LI:#13336866   15/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:10 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11275977 LI:#13336866   11/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:12:12 UTC Syncing #13336854 0x32aa…c10f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11275977 LI:#13336867   11/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
