2021-07-28 13:44:00 UTC Syncing #12914756 0x5858…2587     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029101 LI:#12914764   15/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:05 UTC Syncing #12914757 0xd271…1155     0.20 blk/s   43.8 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   15/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:10 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   12/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:15 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   14/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:20 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   14/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:25 UTC Syncing #12914758 0xeebe…b31b     0.20 blk/s   53.8 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7029103 LI:#12914766   16/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:30 UTC Syncing #12914759 0xd8a9…f711     0.20 blk/s   46.2 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7029104 LI:#12914766   15/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:35 UTC Syncing #12914760 0xdc27…08d6     0.20 blk/s   28.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7029105 LI:#12914766   15/25 peers      2 MiB chain  929 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:40 UTC Syncing #12914760 0xdc27…08d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029105 LI:#12914767   17/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:45 UTC Syncing #12914761 0x95d7…e3fc     0.20 blk/s   32.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7029106 LI:#12914767   20/25 peers      2 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:50 UTC Syncing #12914762 0xab17…dab9     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7029107 LI:#12914767   18/25 peers      2 MiB chain  779 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:45:17 UTC Imported #12914767 0x7b3c…2888 (205 txs, 14.98 Mgas, 7759 ms, 53.33 KiB)
2021-07-28 13:45:31 UTC Imported #12914768 0xd0dd…229a (375 txs, 14.98 Mgas, 8157 ms, 55.61 KiB)
2021-07-28 13:45:34 UTC  Ancient:#7030398 AB:#7033497   15/25 peers   432 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:45:56 UTC Imported #12914769 0x1f49…ff36 (204 txs, 14.99 Mgas, 8608 ms, 60.29 KiB)
2021-07-28 13:46:07 UTC  Ancient:#7032765 AB:#7033878   18/25 peers     19 MiB chain  419 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:46:39 UTC  Ancient:#7033232 AB:#7036540   19/25 peers      5 MiB chain  604 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:46:55 UTC Syncing #12914770 0xa6cd…0c31     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7034937 LI:#12914775   16/25 peers   432 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:00 UTC Syncing #12914770 0xa6cd…0c31     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7034950 LI:#12914775   15/25 peers    146 KiB chain  907 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:05 UTC Syncing #12914771 0x00ec…9306     0.20 blk/s   35.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7034951 LI:#12914776   18/25 peers    219 KiB chain  922 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:10 UTC Syncing #12914771 0x00ec…9306     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7034951 LI:#12914777   18/25 peers    219 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:15 UTC Syncing #12914771 0x00ec…9306     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7034951 LI:#12914777   17/25 peers    219 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:20 UTC Syncing #12914772 0x8128…c86d     0.20 blk/s   29.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7034952 LI:#12914777   16/25 peers    219 KiB chain  912 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:25 UTC Syncing #12914772 0x8128…c86d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7034952 LI:#12914777   16/25 peers    219 KiB chain  912 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:30 UTC Syncing #12914772 0x8128…c86d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7034952 LI:#12914777   17/25 peers    220 KiB chain  912 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:35 UTC Syncing #12914773 0xd5a4…13d1     0.20 blk/s   31.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7034953 LI:#12914778   18/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:40 UTC Syncing #12914774 0x21c0…9d78     0.20 blk/s   55.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7034954 LI:#12914778   19/25 peers      4 MiB chain  905 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:45 UTC Syncing #12914774 0x21c0…9d78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7034954 LI:#12914778   19/25 peers      5 MiB chain  905 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:47:50 UTC Syncing #12914775 0xc8c9…ad29     0.20 blk/s   34.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7034955 LI:#12914780   17/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
