2021-09-22 00:37:15 UTC Syncing #13272413 0x1079…0ea2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5603149 LI:#13272421   32/50 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:19 UTC Syncing #13272413 0x1079…0ea2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5603149 LI:#13272421   33/50 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:24 UTC Syncing #13272415 0x361e…2e30     0.40 blk/s   61.6 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#5603151 LI:#13272421   32/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:29 UTC Syncing #13272415 0x361e…2e30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603151 LI:#13272422   32/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:34 UTC Syncing #13272415 0x361e…2e30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603151 LI:#13272422   33/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:40 UTC Syncing #13272415 0x361e…2e30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603151 LI:#13272422   33/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:44 UTC Syncing #13272415 0x361e…2e30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603151 LI:#13272422   33/50 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:49 UTC Syncing #13272416 0x40d4…9b5d     0.20 blk/s   36.4 tx/s    3.8 Mgas/s      0+    6 Qed Ancient:#5603152 LI:#13272422   32/50 peers    216 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:54 UTC Syncing #13272417 0xe4d6…cbc0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5603152 LI:#13272422   32/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:37:59 UTC Syncing #13272417 0xe4d6…cbc0     0.20 blk/s   13.6 tx/s    1.2 Mgas/s      0+    6 Qed Ancient:#5603153 LI:#13272423   32/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:04 UTC Syncing #13272417 0xe4d6…cbc0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5603153 LI:#13272424   32/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:09 UTC Syncing #13272417 0xe4d6…cbc0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5603153 LI:#13272424   33/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:14 UTC Syncing #13272417 0xe4d6…cbc0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5603153 LI:#13272425   33/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:19 UTC Syncing #13272418 0xad94…95f6     0.20 blk/s   57.8 tx/s    4.8 Mgas/s      0+    8 Qed Ancient:#5603154 LI:#13272425   33/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:24 UTC Syncing #13272419 0x44c0…9294     0.20 blk/s   21.4 tx/s    1.7 Mgas/s      0+    7 Qed Ancient:#5603155 LI:#13272425   32/50 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:28 UTC Reorg to #13272420 0x8db8…1fdb (0x44c0…9294 #13272418 0xad94…95f6 0xd56e…16ef)
2021-09-22 00:38:29 UTC Syncing #13272420 0x8db8…1fdb     0.40 blk/s   28.4 tx/s    2.4 Mgas/s      0+    5 Qed Ancient:#5603157 LI:#13272425   32/50 peers    879 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:34 UTC Syncing #13272420 0x8db8…1fdb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603157 LI:#13272427   32/50 peers    879 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:39 UTC Syncing #13272421 0x3620…6859     0.20 blk/s   31.2 tx/s    3.8 Mgas/s      0+    7 Qed Ancient:#5603157 LI:#13272427   33/50 peers    879 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:44 UTC Syncing #13272421 0x3620…6859     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603158 LI:#13272428   35/50 peers    879 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:38:50 UTC Syncing #13272422 0xfe6c…b690     0.20 blk/s   51.0 tx/s    3.5 Mgas/s      0+    6 Qed Ancient:#5603160 LI:#13272428   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
