2021-07-28 13:22:05 UTC Syncing #12914663 0x2127…8781     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7017250 LI:#12914670   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:10 UTC Syncing #12914664 0xc19c…f842     0.20 blk/s   29.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7017251 LI:#12914670   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:15 UTC Syncing #12914664 0xc19c…f842     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7017251 LI:#12914670   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:20 UTC Syncing #12914665 0xfcb1…97bf     0.20 blk/s   62.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7017252 LI:#12914670   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:25 UTC Syncing #12914665 0xfcb1…97bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7017252 LI:#12914672   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:30 UTC Syncing #12914665 0xfcb1…97bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7017252 LI:#12914672   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:35 UTC Syncing #12914666 0x6187…404e     0.20 blk/s   46.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7017253 LI:#12914672   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:40 UTC Syncing #12914666 0x6187…404e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7017253 LI:#12914672   23/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:45 UTC Syncing #12914667 0x235e…4cde     0.20 blk/s   37.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7017254 LI:#12914672   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:50 UTC Syncing #12914667 0x235e…4cde     0.20 blk/s   44.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7017256 LI:#12914672   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:22:55 UTC Syncing #12914667 0x235e…4cde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7017256 LI:#12914672   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:05 UTC Syncing #12914668 0x1503…7d7a     0.10 blk/s   21.7 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#7017257 LI:#12914674   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:10 UTC Syncing #12914669 0x849f…1862     0.20 blk/s   27.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7017258 LI:#12914674   20/25 peers      5 MiB chain  918 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:40 UTC  Ancient:#7017270 AB:#7020761   22/25 peers      5 MiB chain  392 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:24:14 UTC  Ancient:#7017274 AB:#7020761   24/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:24:42 UTC Imported #12914677 0xfedb…9897 (288 txs, 14.97 Mgas, 6545 ms, 71.31 KiB)
2021-07-28 13:24:54 UTC Imported #12914678 0x4e13…92be (217 txs, 14.98 Mgas, 8106 ms, 72.90 KiB)
2021-07-28 13:25:13 UTC  Ancient:#7020081 AB:#7022194   21/25 peers    0 bytes chain  145 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
