2021-07-28 13:28:11 UTC Syncing #12914686 0x1ce9…db0d     0.20 blk/s   46.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7020090 LI:#12914693    9/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:18 UTC Syncing #12914687 0x46a6…47da     0.20 blk/s   28.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7020091 LI:#12914694    9/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:20 UTC Syncing #12914687 0x46a6…47da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7020091 LI:#12914694   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:25 UTC Syncing #12914688 0x2ffc…8feb     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7020092 LI:#12914694   13/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:30 UTC Syncing #12914688 0x2ffc…8feb     0.20 blk/s   43.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7020093 LI:#12914695   11/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:31 UTC Reorg to #12914689 0xf27a…43cd (0x2ffc…8feb #12914687 0x46a6…47da 0xafc3…c49e)
2021-07-28 13:28:35 UTC Syncing #12914689 0xf27a…43cd     0.20 blk/s   43.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7020094 LI:#12914695   10/25 peers      4 MiB chain 1013 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:28:40 UTC Syncing #12914690 0x28b5…6204     0.20 blk/s   24.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7020095 LI:#12914695    8/25 peers      4 MiB chain  694 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:29:10 UTC  Ancient:#7020100 AB:#7023432   12/25 peers      4 MiB chain  189 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:29:59 UTC Syncing #12914696 0x45de…05a7     0.04 blk/s    9.0 tx/s    0.6 Mgas/s      0+    5 Qed Ancient:#7021212 LI:#12914701    5/25 peers    575 KiB chain  951 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:05 UTC Syncing #12914696 0x45de…05a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7021212 LI:#12914702    5/25 peers    640 KiB chain  848 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:10 UTC Syncing #12914696 0x45de…05a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7021212 LI:#12914702    5/25 peers    640 KiB chain  848 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:15 UTC Syncing #12914696 0x45de…05a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7021212 LI:#12914702    5/25 peers    640 KiB chain  848 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:20 UTC Syncing #12914696 0x45de…05a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7021212 LI:#12914704    6/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:26 UTC Syncing #12914696 0x45de…05a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7021212 LI:#12914704    7/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:33 UTC Syncing #12914697 0xb5b2…4b26     0.20 blk/s   54.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7021213 LI:#12914704    7/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:35 UTC Syncing #12914697 0xb5b2…4b26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7021213 LI:#12914704    6/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:42 UTC Syncing #12914697 0xb5b2…4b26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7021213 LI:#12914704    7/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:45 UTC Syncing #12914697 0xb5b2…4b26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7021213 LI:#12914704    8/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:50 UTC Syncing #12914698 0x1f33…e12c     0.20 blk/s   30.2 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7021216 LI:#12914704    9/25 peers    641 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:30:58 UTC Syncing #12914699 0x08e8…221d     0.20 blk/s   24.2 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7021217 LI:#12914705    9/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:00 UTC Syncing #12914699 0x08e8…221d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7021217 LI:#12914705    6/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:05 UTC Syncing #12914700 0x783b…4752     0.20 blk/s   31.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7021218 LI:#12914705    8/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:10 UTC Syncing #12914700 0x783b…4752     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7021218 LI:#12914707    8/25 peers    668 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:15 UTC Syncing #12914701 0x7a9a…3197     0.20 blk/s   37.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7021219 LI:#12914707    9/25 peers    668 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:20 UTC Syncing #12914701 0x7a9a…3197     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7021219 LI:#12914707   10/25 peers    668 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:25 UTC Syncing #12914702 0x9c89…356b     0.20 blk/s   44.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7021220 LI:#12914707    8/25 peers    668 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:35 UTC Syncing #12914703 0x656e…ce45     0.10 blk/s   25.5 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#7021221 LI:#12914708    5/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:31:40 UTC Syncing #12914703 0x656e…ce45     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7021221 LI:#12914708    7/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
