2021-10-02 00:33:30 UTC Syncing #13336704 0x114b…e276     0.20 blk/s   17.8 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:33 UTC Syncing #13336704 0x114b…e276     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:38 UTC Syncing #13336704 0x114b…e276     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:47 UTC Syncing #13336705 0x6e8f…3bcc     0.20 blk/s   58.2 tx/s    5.1 Mgas/s      0+    7 Qed Ancient:#11264387 LI:#13336713   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:56 UTC Syncing #13336707 0x7d84…2935     0.20 blk/s   20.8 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#11264389 LI:#13336713   13/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:56 UTC Syncing #13336706 0x9825…d848     0.20 blk/s   27.8 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#11264388 LI:#13336713   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:01 UTC Syncing #13336707 0x7d84…2935     0.20 blk/s   13.8 tx/s    1.2 Mgas/s      0+    6 Qed Ancient:#11264389 LI:#13336714   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:03 UTC Syncing #13336707 0x7d84…2935     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11264389 LI:#13336714   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:08 UTC Syncing #13336707 0x7d84…2935     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11264389 LI:#13336715   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:13 UTC Syncing #13336708 0xff13…4399     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264389 LI:#13336715   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:23 UTC Syncing #13336708 0xff13…4399     0.20 blk/s   61.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11264391 LI:#13336716   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:23 UTC Syncing #13336710 0x7515…f47c     0.40 blk/s   33.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#11264394 LI:#13336716   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:28 UTC Syncing #13336710 0x7515…f47c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264394 LI:#13336716   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:33 UTC Syncing #13336710 0x7515…f47c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264394 LI:#13336716   10/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:38 UTC Syncing #13336711 0xe73f…ec2d     0.20 blk/s   35.6 tx/s    3.9 Mgas/s      0+    4 Qed Ancient:#11264395 LI:#13336716   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:43 UTC Syncing #13336711 0xe73f…ec2d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264395 LI:#13336717   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:51 UTC Syncing #13336712 0x54b2…dc64     0.20 blk/s   27.6 tx/s    2.4 Mgas/s      0+    4 Qed Ancient:#11264396 LI:#13336717   10/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:53 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   10/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:34:58 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   13/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:03 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   11/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:08 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:13 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   13/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:18 UTC Syncing #13336712 0x54b2…dc64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264396 LI:#13336718   14/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:23 UTC Syncing #13336713 0x8dfb…294f     0.20 blk/s   55.0 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#11264397 LI:#13336719   15/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:28 UTC Syncing #13336713 0x8dfb…294f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11264397 LI:#13336720   15/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:35 UTC Syncing #13336713 0x8dfb…294f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264397 LI:#13336721   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:38 UTC Syncing #13336713 0x8dfb…294f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264397 LI:#13336721   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:43 UTC Syncing #13336713 0x8dfb…294f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264397 LI:#13336721   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:49 UTC Syncing #13336713 0x8dfb…294f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264397 LI:#13336721   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:53 UTC Syncing #13336714 0xe699…ce2d     0.20 blk/s   77.2 tx/s    5.3 Mgas/s      0+    6 Qed Ancient:#11264398 LI:#13336721   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:35:58 UTC Syncing #13336715 0xcd8a…350d     0.20 blk/s   33.2 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#11264399 LI:#13336722   13/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:36:07 UTC Syncing #13336716 0x0400…9d93     0.20 blk/s   16.8 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#11264400 LI:#13336722   12/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:36:33 UTC  Ancient:#11264406 AB:#11266289    9/25 peers      6 MiB chain  262 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:37:02 UTC Imported #13336725 0x9e51…2b6b (92 txs, 10.39 Mgas, 2095 ms, 74.75 KiB)
