2021-10-02 00:48:43 UTC Syncing #13336759 0xc942…d5c0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336765    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:48:48 UTC Syncing #13336760 0x98b6…cf93     0.20 blk/s   56.8 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11269886 LI:#13336765    6/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:49:18 UTC  Ancient:#11269888 AB:#11269969    4/25 peers      5 MiB chain 1019 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:49:43 UTC Syncing #13336763 0x46aa…a280     0.04 blk/s   20.1 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#11269889 LI:#13336768    4/25 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:49:48 UTC Syncing #13336763 0x46aa…a280     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11269889 LI:#13336768    4/25 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:49:53 UTC Syncing #13336763 0x46aa…a280     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269889 LI:#13336769    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:49:58 UTC Syncing #13336763 0x46aa…a280     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11269889 LI:#13336771    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:14 UTC Syncing #13336765 0x9fb6…cd3f     0.20 blk/s   41.5 tx/s    3.7 Mgas/s      0+    5 Qed Ancient:#11269891 LI:#13336771    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:14 UTC Syncing #13336765 0x9fb6…cd3f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269891 LI:#13336771    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:14 UTC Syncing #13336764 0x937b…3200     0.20 blk/s   71.6 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11269890 LI:#13336771    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:20 UTC Syncing #13336765 0x9fb6…cd3f     0.27 blk/s   15.6 tx/s    1.9 Mgas/s      0+    5 Qed Ancient:#11269891 LI:#13336771    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:27 UTC Syncing #13336766 0x21c4…83b3     0.20 blk/s   40.8 tx/s    3.3 Mgas/s      0+    4 Qed Ancient:#11269892 LI:#13336771    3/25 peers      5 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:28 UTC Syncing #13336766 0x21c4…83b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11269892 LI:#13336771    3/25 peers      5 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:33 UTC Syncing #13336766 0x21c4…83b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11269892 LI:#13336771    3/25 peers      6 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:50:38 UTC Syncing #13336766 0x21c4…83b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11269892 LI:#13336771    6/25 peers      6 MiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:51:21 UTC  Ancient:#11270164 AB:#11270734    1/25 peers      6 MiB chain  537 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:52:17 UTC Syncing #13336772 0x32aa…4eb0     0.02 blk/s    8.5 tx/s    0.6 Mgas/s      0+    3 Qed Ancient:#11270734 LI:#13336776    1/25 peers    0 bytes chain  757 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:52:17 UTC Syncing #13336772 0x32aa…4eb0     0.02 blk/s    8.4 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#11270734 LI:#13336776    1/25 peers   744 bytes chain  979 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:52:17 UTC Syncing #13336772 0x32aa…4eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11270734 LI:#13336777    1/25 peers   744 bytes chain  980 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:52:17 UTC Syncing #13336772 0x32aa…4eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11270734 LI:#13336777    1/25 peers   744 bytes chain  979 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:52:25 UTC Syncing #13336772 0x32aa…4eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11270734 LI:#13336778    1/25 peers     74 KiB chain  757 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
