2021-10-02 00:30:43 UTC Syncing #13336690 0x7707…d656     0.20 blk/s   55.6 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11264370 LI:#13336699    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:48 UTC Syncing #13336690 0x7707…d656     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11264370 LI:#13336699    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:07 UTC Syncing #13336692 0xa86b…12a0     0.13 blk/s   14.1 tx/s    2.3 Mgas/s      0+    7 Qed Ancient:#11264372 LI:#13336699    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:07 UTC Syncing #13336691 0xcf5c…4c1b     0.20 blk/s   38.0 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#11264371 LI:#13336699    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:07 UTC Syncing #13336692 0xa86b…12a0     0.20 blk/s   21.2 tx/s    3.4 Mgas/s      0+    7 Qed Ancient:#11264372 LI:#13336699    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:13 UTC Syncing #13336692 0xa86b…12a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264372 LI:#13336700    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:13 UTC Syncing #13336692 0xa86b…12a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264372 LI:#13336700    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:20 UTC Syncing #13336693 0x7661…9de1     0.20 blk/s   28.6 tx/s    2.5 Mgas/s      0+    7 Qed Ancient:#11264373 LI:#13336700    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:23 UTC Syncing #13336693 0x7661…9de1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11264373 LI:#13336702    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:28 UTC Syncing #13336693 0x7661…9de1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11264373 LI:#13336702    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:38 UTC Syncing #13336695 0x8cd6…8743     0.30 blk/s   36.3 tx/s    2.9 Mgas/s      0+    7 Qed Ancient:#11264376 LI:#13336703    8/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:38 UTC Syncing #13336694 0xdfc8…3ac3     0.20 blk/s   56.8 tx/s    4.5 Mgas/s      0+   10 Qed Ancient:#11264373 LI:#13336703    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:43 UTC Syncing #13336695 0x8cd6…8743     0.40 blk/s   15.8 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:48 UTC Syncing #13336695 0x8cd6…8743     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:53 UTC Syncing #13336695 0x8cd6…8743     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:00 UTC Syncing #13336697 0xb85d…ed09     0.40 blk/s   75.4 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#11264378 LI:#13336704    9/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336697 0xb85d…ed09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11264378 LI:#13336705    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336698 0xd58c…f876     0.10 blk/s   12.9 tx/s    0.9 Mgas/s      0+    7 Qed Ancient:#11264379 LI:#13336706    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336698 0xd58c…f876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264379 LI:#13336707    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:18 UTC Syncing #13336698 0xd58c…f876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264379 LI:#13336707   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
