2021-10-02 02:37:27 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11295496 LI:#13337219   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:37 UTC Syncing #13337204 0x72fe…f9f0     0.20 blk/s   77.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11295497 LI:#13337219   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:46 UTC Syncing #13337205 0xb399…d2af     0.10 blk/s    3.7 tx/s    0.3 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337219   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:46 UTC Syncing #13337205 0xb399…d2af     0.20 blk/s    7.4 tx/s    0.6 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337219   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:48 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337219   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:52 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218    9/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:59 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218   10/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:02 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:08 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:38:12 UTC Syncing #13337205 0xb399…d2af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295498 LI:#13337218   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
