2021-05-09 11:43:38 UTC Syncing #12399779 0xee9d…2c90     0.20 blk/s   72.0 tx/s    2.9 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399965   36/50 peers    214 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:43:43 UTC Syncing #12399780 0xf22b…1e2e     0.20 blk/s   42.6 tx/s    2.9 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399966   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:43:48 UTC Syncing #12399780 0xf22b…1e2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399966   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:43:53 UTC Syncing #12399781 0xbc61…b606     0.20 blk/s   39.2 tx/s    2.8 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399967   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:43:58 UTC Syncing #12399781 0xbc61…b606     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399967   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:03 UTC Syncing #12399782 0x1f93…fbdc     0.20 blk/s   50.6 tx/s    2.9 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399968   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:08 UTC Syncing #12399783 0x7d17…f138     0.20 blk/s   46.4 tx/s    3.0 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399969   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:13 UTC Syncing #12399783 0x7d17…f138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399969   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:18 UTC Syncing #12399784 0xc233…1ca4     0.20 blk/s   62.4 tx/s    3.0 Mgas/s      0+  187 Qed Ancient:#12152025 LI:#12399970   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:23 UTC Syncing #12399785 0x27f0…6d10     0.20 blk/s   54.6 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12152025 LI:#12399970   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:28 UTC Syncing #12399786 0x9869…a7f7     0.20 blk/s   55.8 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12152025 LI:#12399970   36/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:33 UTC Syncing #12399786 0x9869…a7f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12152025 LI:#12399970   38/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:38 UTC Syncing #12399786 0x9869…a7f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  185 Qed Ancient:#12152025 LI:#12399970   38/50 peers    355 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:44:43 UTC Syncing #12399787 0x3d51…d9db     0.20 blk/s   81.8 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12152025 LI:#12399971   38/50 peers    636 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
