2021-10-02 04:28:25 UTC Syncing #13337713 0x2464…bc40     0.20 blk/s   11.4 tx/s    0.7 Mgas/s      0+   15 Qed Ancient:#11318711 LI:#13337727   29/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:25 UTC Syncing #13337713 0x2464…bc40     0.10 blk/s    5.7 tx/s    0.3 Mgas/s      0+   15 Qed Ancient:#11318711 LI:#13337728   29/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:29 UTC Syncing #13337713 0x2464…bc40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11318711 LI:#13337728   28/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:34 UTC Syncing #13337713 0x2464…bc40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318711 LI:#13337729   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:39 UTC Syncing #13337713 0x2464…bc40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318711 LI:#13337729   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:44 UTC Syncing #13337713 0x2464…bc40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11318711 LI:#13337730   28/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:53 UTC Syncing #13337715 0x7a5f…89d3     0.40 blk/s   74.2 tx/s    6.5 Mgas/s      0+   16 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:55 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:28:59 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:04 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:09 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:16 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:19 UTC Syncing #13337715 0x7a5f…89d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318713 LI:#13337731   26/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:26 UTC Syncing #13337716 0x4dde…e555     0.20 blk/s   16.6 tx/s    1.7 Mgas/s      0+   16 Qed Ancient:#11318714 LI:#13337731   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:29 UTC Syncing #13337716 0x4dde…e555     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11318714 LI:#13337732   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:41 UTC Syncing #13337717 0x54dd…b134     0.10 blk/s    6.1 tx/s    0.6 Mgas/s      0+   16 Qed Ancient:#11318715 LI:#13337732   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:41 UTC Syncing #13337717 0x54dd…b134     0.20 blk/s   12.2 tx/s    1.3 Mgas/s      0+   16 Qed Ancient:#11318715 LI:#13337732   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:44 UTC Syncing #13337717 0x54dd…b134     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11318715 LI:#13337735   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:49 UTC Syncing #13337717 0x54dd…b134     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11318715 LI:#13337736   27/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:54 UTC Syncing #13337717 0x54dd…b134     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11318715 LI:#13337736   26/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:29:59 UTC Syncing #13337717 0x54dd…b134     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11318715 LI:#13337737   26/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:04 UTC Syncing #13337718 0xca99…bde9     0.20 blk/s   73.4 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11318716 LI:#13337739   26/50 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
