2021-10-02 04:13:39 UTC Syncing #13337657 0x7562…35b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11316305 LI:#13337671   18/25 peers    216 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:13:44 UTC Syncing #13337658 0x39a3…a108     0.20 blk/s   20.8 tx/s    1.9 Mgas/s      0+   14 Qed Ancient:#11316306 LI:#13337672   18/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:13:49 UTC Syncing #13337658 0x39a3…a108     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11316306 LI:#13337673   21/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:13:54 UTC Syncing #13337658 0x39a3…a108     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11316306 LI:#13337674   19/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:00 UTC Syncing #13337658 0x39a3…a108     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11316306 LI:#13337674   19/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:04 UTC Syncing #13337658 0x39a3…a108     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316306 LI:#13337675   19/25 peers    356 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:09 UTC Syncing #13337659 0xba5d…dc5e     0.20 blk/s   73.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11316308 LI:#13337675   19/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:14 UTC Syncing #13337659 0xba5d…dc5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11316308 LI:#13337675   19/25 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:19 UTC Syncing #13337659 0xba5d…dc5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316308 LI:#13337676   20/25 peers    580 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:14:24 UTC Syncing #13337659 0xba5d…dc5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11316308 LI:#13337676   19/25 peers    585 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
