2021-10-02 04:23:15 UTC Syncing #13337695 0x3e5e…e93d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318688 LI:#13337709   16/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:19 UTC Syncing #13337695 0x3e5e…e93d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318688 LI:#13337709   14/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:24 UTC Syncing #13337695 0x3e5e…e93d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318688 LI:#13337709   15/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:29 UTC Syncing #13337696 0x0457…456f     0.20 blk/s   60.2 tx/s    5.1 Mgas/s      0+   14 Qed Ancient:#11318689 LI:#13337709   15/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:34 UTC Syncing #13337696 0x0457…456f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318689 LI:#13337710   16/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:40 UTC Syncing #13337697 0xf3d7…8965     0.20 blk/s   14.6 tx/s    1.3 Mgas/s      0+   14 Qed Ancient:#11318690 LI:#13337710   14/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:44 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318690 LI:#13337711   17/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:49 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318690 LI:#13337711   19/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:54 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318690 LI:#13337711   20/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:23:59 UTC Syncing #13337697 0xf3d7…8965     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11318690 LI:#13337711   23/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
