2021-09-22 04:01:26 UTC Syncing #13273280 0x567c…d768     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697590 LI:#13273306    1/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:44 UTC Syncing #13273282 0xe140…876d     0.13 blk/s   13.2 tx/s    1.4 Mgas/s      0+   23 Qed Ancient:#5697592 LI:#13273306    1/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:44 UTC Syncing #13273281 0x350d…cf2b     0.20 blk/s   28.8 tx/s    3.4 Mgas/s      0+   24 Qed Ancient:#5697591 LI:#13273306    1/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:44 UTC Syncing #13273282 0xe140…876d     0.20 blk/s   19.8 tx/s    2.0 Mgas/s      0+   23 Qed Ancient:#5697592 LI:#13273306    1/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:48 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5697592 LI:#13273306    1/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:51 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697592 LI:#13273307    1/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:56 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697592 LI:#13273307    1/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:01 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697592 LI:#13273307    1/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:07 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697592 LI:#13273307    5/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:11 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697592 LI:#13273308    8/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:16 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697592 LI:#13273308    8/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:22 UTC Syncing #13273282 0xe140…876d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697592 LI:#13273308   11/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:26 UTC Syncing #13273283 0x4d6e…5c74     0.20 blk/s   46.2 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#5697593 LI:#13273308   12/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:35 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697593 LI:#13273308   12/25 peers    356 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:36 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5697593 LI:#13273310   10/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:41 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5697593 LI:#13273310   10/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:46 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5697593 LI:#13273312   11/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:51 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5697593 LI:#13273312   13/25 peers    356 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:02:56 UTC Syncing #13273283 0x4d6e…5c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#5697593 LI:#13273313   13/25 peers    356 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:03:33 UTC Syncing #13273284 0x207e…9f7f     0.03 blk/s   25.9 tx/s    1.0 Mgas/s      0+   31 Qed Ancient:#5698032 LI:#13273315    9/25 peers      9 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:03:34 UTC Syncing #13273284 0x207e…9f7f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#5698318 LI:#13273315    9/25 peers      8 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:03:53 UTC Syncing #13273284 0x207e…9f7f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#5698320 LI:#13273315    9/25 peers    109 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:03:53 UTC Syncing #13273284 0x207e…9f7f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#5698320 LI:#13273315    9/25 peers    109 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:04:26 UTC Syncing #13273285 0x43dd…5870     0.03 blk/s    8.8 tx/s    0.9 Mgas/s      0+   34 Qed Ancient:#5698321 LI:#13273319    7/25 peers    144 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:04:37 UTC Syncing #13273285 0x43dd…5870     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#5698899 LI:#13273320    7/25 peers      9 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:04:48 UTC Syncing #13273286 0xff96…f2f9     0.10 blk/s    8.2 tx/s    0.9 Mgas/s      0+   34 Qed Ancient:#5698901 LI:#13273320    7/25 peers    109 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:09 UTC Syncing #13273286 0xff96…f2f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#5699167 LI:#13273322    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:09 UTC Syncing #13273286 0xff96…f2f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#5699167 LI:#13273322    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:29 UTC Syncing #13273287 0xe0d2…6709     0.39 blk/s   47.7 tx/s    4.4 Mgas/s      0+   35 Qed Ancient:#5699168 LI:#13273322    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:29 UTC Syncing #13273288 0xf1dc…63db     0.10 blk/s    9.0 tx/s    0.8 Mgas/s      0+   34 Qed Ancient:#5699170 LI:#13273324    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:45 UTC Syncing #13273288 0xf1dc…63db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#5699170 LI:#13273327    5/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:45 UTC Syncing #13273288 0xf1dc…63db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#5699170 LI:#13273327    5/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:45 UTC Syncing #13273288 0xf1dc…63db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#5699170 LI:#13273327    5/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:05:54 UTC Syncing #13273289 0x186f…8bdf     0.17 blk/s   34.7 tx/s    5.0 Mgas/s      0+   41 Qed Ancient:#5699171 LI:#13273330    5/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:02 UTC Syncing #13273289 0x186f…8bdf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699171 LI:#13273330    4/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:02 UTC Syncing #13273289 0x186f…8bdf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699171 LI:#13273330    4/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:18 UTC Syncing #13273291 0x9444…825d     0.20 blk/s   23.5 tx/s    2.2 Mgas/s      0+   40 Qed Ancient:#5699173 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:06:18 UTC Syncing #13273291 0x9444…825d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#5699173 LI:#13273331    3/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
