2021-09-22 03:51:35 UTC Syncing #13273236 0x5b21…27d5     0.66 blk/s   22.4 tx/s    2.6 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:51:36 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:51:42 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:51:47 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:51:53 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:51:56 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5689754 LI:#13273258    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:01 UTC Syncing #13273236 0x5b21…27d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5689754 LI:#13273259    7/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:25 UTC Syncing #13273237 0x1ec0…9256     0.04 blk/s   16.8 tx/s    1.3 Mgas/s      0+   26 Qed Ancient:#5690513 LI:#13273262   12/25 peers   432 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:41 UTC Syncing #13273237 0x1ec0…9256     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5690534 LI:#13273264   10/25 peers    640 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:51 UTC Syncing #13273237 0x1ec0…9256     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5690534 LI:#13273264   10/25 peers    640 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:52 UTC Syncing #13273237 0x1ec0…9256     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5690534 LI:#13273264   10/25 peers    640 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:52:56 UTC Syncing #13273237 0x1ec0…9256     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5690534 LI:#13273265   10/25 peers    640 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:13 UTC Syncing #13273238 0x83be…4b8f     0.20 blk/s   59.2 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#5690535 LI:#13273265   10/25 peers    640 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:13 UTC Syncing #13273238 0x83be…4b8f     0.06 blk/s   18.7 tx/s    1.9 Mgas/s      0+   27 Qed Ancient:#5690535 LI:#13273265   10/25 peers    640 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:16 UTC Syncing #13273238 0x83be…4b8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5690535 LI:#13273266    9/25 peers    640 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:23 UTC Syncing #13273240 0x6119…95b5     0.35 blk/s   47.5 tx/s    5.6 Mgas/s      0+   29 Qed Ancient:#5690537 LI:#13273268    9/25 peers    640 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:29 UTC Syncing #13273240 0x6119…95b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5690855 LI:#13273268    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:35 UTC Syncing #13273241 0x0c39…e3d3     0.20 blk/s   61.4 tx/s    3.9 Mgas/s      0+   27 Qed Ancient:#5690856 LI:#13273268    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:40 UTC Syncing #13273244 0x2daf…694f     0.60 blk/s   54.4 tx/s    4.6 Mgas/s      0+   24 Qed Ancient:#5690861 LI:#13273268    6/25 peers    218 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:53:47 UTC Syncing #13273245 0xc203…3f79     0.20 blk/s   21.6 tx/s    2.0 Mgas/s      0+   23 Qed Ancient:#5690862 LI:#13273268    6/25 peers    358 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
