2021-10-01 19:57:43 UTC Syncing #13335464 0xb73c…9523     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11176926 LI:#13335475   36/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:48 UTC Syncing #13335465 0x7290…5397     0.20 blk/s   48.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11176927 LI:#13335475   37/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:53 UTC Syncing #13335465 0x7290…5397     0.20 blk/s   49.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11176928 LI:#13335476   35/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:57:58 UTC Syncing #13335466 0x8aeb…7564     0.40 blk/s   74.6 tx/s    8.5 Mgas/s      0+    9 Qed Ancient:#11176930 LI:#13335476   36/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:03 UTC Syncing #13335468 0xc35c…211f     0.40 blk/s   37.0 tx/s    3.5 Mgas/s      0+    7 Qed Ancient:#11176932 LI:#13335476   37/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:08 UTC Syncing #13335468 0xc35c…211f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11176932 LI:#13335477   36/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:13 UTC Syncing #13335469 0x7816…90f8     0.20 blk/s   76.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11176933 LI:#13335477   36/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:18 UTC Syncing #13335470 0x89fe…fd43     0.20 blk/s   70.4 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11176934 LI:#13335477   35/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:23 UTC Syncing #13335470 0x89fe…fd43     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11176934 LI:#13335477   35/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:28 UTC Syncing #13335471 0x7231…4b86     0.20 blk/s   55.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11176935 LI:#13335477   36/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:58:33 UTC Syncing #13335472 0xdf17…c16d     0.20 blk/s   29.4 tx/s    3.1 Mgas/s      0+    5 Qed Ancient:#11176936 LI:#13335478   36/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:59:03 UTC  Ancient:#11176944 AB:#11180220   35/50 peers      5 MiB chain  131 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:59:07 UTC Imported #13335482 0x8fc3…e7e5 (68 txs, 5.37 Mgas, 1567 ms, 41.32 KiB)
2021-10-01 19:59:21 UTC Imported #13335484 0x3f47…179c (94 txs, 7.54 Mgas, 1785 ms, 28.66 KiB)
2021-10-01 19:59:33 UTC  Ancient:#11179119 AB:#11180332   35/50 peers    572 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:59:53 UTC Imported #13335485 0x05ce…a85e (394 txs, 30.00 Mgas, 11943 ms, 141.52 KiB)
2021-10-01 20:00:04 UTC  Ancient:#11180053 AB:#11180401   36/50 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:01:10 UTC Syncing #13335486 0xb79b…ee48     0.02 blk/s    5.7 tx/s    0.5 Mgas/s      0+    5 Qed Ancient:#11180498 LI:#13335491   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:01:13 UTC Syncing #13335486 0xb79b…ee48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11180518 LI:#13335491   30/50 peers      5 MiB chain  828 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:01:19 UTC Syncing #13335486 0xb79b…ee48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11180518 LI:#13335491   29/50 peers      5 MiB chain  828 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:01:25 UTC Syncing #13335486 0xb79b…ee48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11180518 LI:#13335491   29/50 peers      5 MiB chain  828 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:01:30 UTC Syncing #13335487 0x933b…083c     0.20 blk/s   23.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#11180519 LI:#13335493   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
