2021-10-01 20:12:49 UTC Syncing #13335537 0x7223…7d05     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11182631 LI:#13335543   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:12:59 UTC Syncing #13335538 0x78c0…4e9a     0.20 blk/s   13.4 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#11182632 LI:#13335544   27/50 peers      5 MiB chain  905 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:12:59 UTC Syncing #13335538 0x78c0…4e9a     0.10 blk/s    6.7 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#11182632 LI:#13335545   27/50 peers      5 MiB chain  906 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:04 UTC Syncing #13335538 0x78c0…4e9a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182632 LI:#13335546   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:14 UTC Syncing #13335539 0xa40c…a388     0.20 blk/s   38.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11182633 LI:#13335546   23/25 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:14 UTC Syncing #13335539 0xa40c…a388     0.10 blk/s   19.1 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#11182633 LI:#13335546   23/25 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:22 UTC Syncing #13335539 0xa40c…a388     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11182633 LI:#13335546   22/25 peers      5 MiB chain  996 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:23 UTC Syncing #13335539 0xa40c…a388     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182633 LI:#13335548   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:29 UTC Syncing #13335540 0x1ee1…0908     0.20 blk/s   66.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11182635 LI:#13335549   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:33 UTC Syncing #13335540 0x1ee1…0908     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182635 LI:#13335549   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:38 UTC Syncing #13335540 0x1ee1…0908     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182635 LI:#13335549   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:47 UTC Syncing #13335541 0x7d53…b17c     0.20 blk/s   40.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11182636 LI:#13335550   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:48 UTC Syncing #13335541 0x7d53…b17c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182636 LI:#13335550   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:58 UTC Syncing #13335542 0x75e8…480b     0.20 blk/s   24.6 tx/s    3.3 Mgas/s      0+    7 Qed Ancient:#11182637 LI:#13335550   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:13:58 UTC Syncing #13335542 0x75e8…480b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182637 LI:#13335551   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:03 UTC Syncing #13335543 0xd919…a693     0.20 blk/s   32.0 tx/s    4.8 Mgas/s      0+    8 Qed Ancient:#11182638 LI:#13335551   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:13 UTC Syncing #13335543 0xd919…a693     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182639 LI:#13335551   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:13 UTC Syncing #13335543 0xd919…a693     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11182639 LI:#13335554   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:18 UTC Syncing #13335543 0xd919…a693     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11182639 LI:#13335554   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:34 UTC Syncing #13335545 0x2cc4…f3bb     0.20 blk/s   12.3 tx/s    1.9 Mgas/s      0+    8 Qed Ancient:#11182641 LI:#13335554   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:34 UTC Syncing #13335545 0x2cc4…f3bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11182641 LI:#13335554   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:34 UTC Syncing #13335544 0x684b…8562     0.20 blk/s   17.8 tx/s    2.9 Mgas/s      0+    9 Qed Ancient:#11182640 LI:#13335554   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:40 UTC Syncing #13335545 0x2cc4…f3bb     0.20 blk/s    6.8 tx/s    0.8 Mgas/s      0+    8 Qed Ancient:#11182641 LI:#13335554   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:54 UTC Syncing #13335546 0x1fed…b64e     0.07 blk/s    7.4 tx/s    1.3 Mgas/s      0+    7 Qed Ancient:#11182642 LI:#13335554   22/25 peers      6 MiB chain  922 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:54 UTC Syncing #13335546 0x1fed…b64e     0.20 blk/s   22.2 tx/s    4.0 Mgas/s      0+    7 Qed Ancient:#11182642 LI:#13335554   22/25 peers      6 MiB chain  922 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:54 UTC Syncing #13335546 0x1fed…b64e     0.10 blk/s   11.1 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#11182642 LI:#13335554   22/25 peers      6 MiB chain  922 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:14:58 UTC Syncing #13335546 0x1fed…b64e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11182642 LI:#13335554   22/25 peers      6 MiB chain  922 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:15:07 UTC Syncing #13335548 0xf749…b1a6     0.41 blk/s   23.3 tx/s    3.6 Mgas/s      0+    5 Qed Ancient:#11182644 LI:#13335554   22/25 peers      6 MiB chain  646 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
