2021-10-01 23:17:05 UTC Syncing #13336362 0x76e9…1f3a     0.20 blk/s   25.8 tx/s    2.2 Mgas/s      0+    9 Qed Ancient:#11241378 LI:#13336372   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:08 UTC Syncing #13336362 0x76e9…1f3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241378 LI:#13336373   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:14 UTC Syncing #13336362 0x76e9…1f3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11241378 LI:#13336374   31/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:18 UTC Syncing #13336363 0x6552…3f0a     0.20 blk/s   33.6 tx/s    4.1 Mgas/s      0+   11 Qed Ancient:#11241379 LI:#13336374   31/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:24 UTC Syncing #13336364 0xaf13…650f     0.20 blk/s    9.2 tx/s    1.1 Mgas/s      0+   10 Qed Ancient:#11241380 LI:#13336374   31/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:28 UTC Syncing #13336364 0xaf13…650f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241380 LI:#13336375   31/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:34 UTC Syncing #13336364 0xaf13…650f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241380 LI:#13336375   31/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:39 UTC Syncing #13336365 0xb69f…db5d     0.20 blk/s   14.4 tx/s    2.9 Mgas/s      0+   10 Qed Ancient:#11241381 LI:#13336375   31/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:44 UTC Syncing #13336365 0xb69f…db5d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11241381 LI:#13336375   31/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:49 UTC Syncing #13336367 0x2800…99ef     0.40 blk/s   34.0 tx/s    2.7 Mgas/s      0+    8 Qed Ancient:#11241383 LI:#13336375   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:54 UTC Syncing #13336367 0x2800…99ef     0.20 blk/s    7.8 tx/s    0.5 Mgas/s      0+    7 Qed Ancient:#11241384 LI:#13336375   32/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:17:59 UTC Syncing #13336367 0x2800…99ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11241384 LI:#13336375   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:04 UTC Syncing #13336367 0x2800…99ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11241384 LI:#13336376   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:14 UTC Syncing #13336367 0x2800…99ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11241384 LI:#13336376   32/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:14 UTC Syncing #13336367 0x2800…99ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11241384 LI:#13336376   32/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:19 UTC Syncing #13336367 0x2800…99ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11241384 LI:#13336377   32/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:19 UTC Reorg to #13336368 0xa4f4…c5ae (0x2800…99ef #13336366 0x1648…df4e 0xfea2…8e1c)
2021-10-01 23:18:25 UTC Syncing #13336369 0x43f2…1734     0.40 blk/s   74.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11241386 LI:#13336377   32/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:29 UTC Syncing #13336369 0x43f2…1734     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11241386 LI:#13336378   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:34 UTC Syncing #13336369 0x43f2…1734     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11241386 LI:#13336380   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:43 UTC Syncing #13336370 0x8392…9d6c     0.20 blk/s   60.0 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11241387 LI:#13336380   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:44 UTC Syncing #13336370 0x8392…9d6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11241387 LI:#13336380   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:49 UTC Syncing #13336370 0x8392…9d6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11241387 LI:#13336381   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:54 UTC Syncing #13336370 0x8392…9d6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11241387 LI:#13336381   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:18:59 UTC Syncing #13336370 0x8392…9d6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241387 LI:#13336382   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:05 UTC Syncing #13336371 0x873d…f0d9     0.20 blk/s   55.0 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11241388 LI:#13336382   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:09 UTC Syncing #13336371 0x873d…f0d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11241388 LI:#13336382   31/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:14 UTC Syncing #13336371 0x873d…f0d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11241388 LI:#13336384   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:19 UTC Syncing #13336371 0x873d…f0d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11241388 LI:#13336385   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:24 UTC Syncing #13336372 0xece8…03ab     0.20 blk/s   43.4 tx/s    4.4 Mgas/s      0+   13 Qed Ancient:#11241389 LI:#13336385   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
