2021-10-01 23:31:53 UTC Syncing #13336432 0xaa7b…bc9d     0.10 blk/s   11.0 tx/s    0.9 Mgas/s      0+   17 Qed Ancient:#11246066 LI:#13336450    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:00 UTC Syncing #13336433 0xda9d…5113     0.19 blk/s   26.9 tx/s    2.4 Mgas/s      0+   16 Qed Ancient:#11246068 LI:#13336451    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:08 UTC Syncing #13336433 0xda9d…5113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11246068 LI:#13336453    9/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:09 UTC Syncing #13336433 0xda9d…5113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246068 LI:#13336454    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:14 UTC Syncing #13336433 0xda9d…5113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11246068 LI:#13336455    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:19 UTC Syncing #13336433 0xda9d…5113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11246068 LI:#13336455    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:32 UTC Syncing #13336435 0xf27d…d081     0.40 blk/s   60.4 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#11246070 LI:#13336455    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:32 UTC Syncing #13336435 0xf27d…d081     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11246070 LI:#13336455    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:38 UTC Syncing #13336435 0xf27d…d081     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11246070 LI:#13336455    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:39 UTC Syncing #13336435 0xf27d…d081     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11246070 LI:#13336455    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:55 UTC Syncing #13336436 0xf07f…b5b3     0.10 blk/s   16.0 tx/s    1.6 Mgas/s      0+   18 Qed Ancient:#11246071 LI:#13336455    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:55 UTC Syncing #13336436 0xf07f…b5b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11246071 LI:#13336455    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:32:55 UTC Syncing #13336436 0xf07f…b5b3     0.20 blk/s   32.0 tx/s    3.2 Mgas/s      0+   18 Qed Ancient:#11246071 LI:#13336455    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:05 UTC Syncing #13336436 0xf07f…b5b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246071 LI:#13336457    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:05 UTC Syncing #13336436 0xf07f…b5b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246071 LI:#13336457    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:18 UTC Syncing #13336437 0x2112…18ac     0.10 blk/s   32.6 tx/s    3.0 Mgas/s      0+   19 Qed Ancient:#11246073 LI:#13336457    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:18 UTC Syncing #13336437 0x2112…18ac     0.20 blk/s   65.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#11246073 LI:#13336457    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:19 UTC Syncing #13336437 0x2112…18ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11246073 LI:#13336458    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:28 UTC Syncing #13336438 0x4760…c25c     0.20 blk/s   31.0 tx/s    4.6 Mgas/s      0+   19 Qed Ancient:#11246074 LI:#13336458    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:29 UTC Syncing #13336441 0x087d…4e89     0.60 blk/s   27.4 tx/s    2.6 Mgas/s      0+   16 Qed Ancient:#11246077 LI:#13336458    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:35 UTC Syncing #13336441 0x087d…4e89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11246077 LI:#13336458    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:33:39 UTC Syncing #13336441 0x087d…4e89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11246077 LI:#13336458    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
