2021-10-01 21:29:26 UTC Syncing #13335864 0x3ad5…c7b5     0.20 blk/s   18.8 tx/s    2.9 Mgas/s      0+   15 Qed Ancient:#11209543 LI:#13335879   20/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:29 UTC Syncing #13335864 0x3ad5…c7b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11209543 LI:#13335880   19/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:38 UTC Syncing #13335865 0x98e3…b871     0.20 blk/s   18.8 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#11209545 LI:#13335880   19/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:43 UTC Syncing #13335866 0xe6ca…19ad     0.20 blk/s    9.2 tx/s    1.3 Mgas/s      0+   15 Qed Ancient:#11209546 LI:#13335881   18/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:44 UTC Syncing #13335866 0xe6ca…19ad     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11209546 LI:#13335882   16/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:49 UTC Syncing #13335868 0x22e7…587c     0.40 blk/s   54.6 tx/s    4.2 Mgas/s      0+   14 Qed Ancient:#11209548 LI:#13335882   16/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:29:54 UTC Syncing #13335868 0x22e7…587c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11209548 LI:#13335882   16/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:01 UTC Syncing #13335868 0x22e7…587c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11209548 LI:#13335883   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:10 UTC Syncing #13335870 0x27d4…c145     0.20 blk/s   18.5 tx/s    1.8 Mgas/s      0+   14 Qed Ancient:#11209550 LI:#13335884   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:10 UTC Syncing #13335870 0x27d4…c145     0.40 blk/s   37.0 tx/s    3.6 Mgas/s      0+   14 Qed Ancient:#11209550 LI:#13335884   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:20 UTC Syncing #13335870 0x27d4…c145     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11209550 LI:#13335885   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:30:20 UTC Syncing #13335870 0x27d4…c145     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11209550 LI:#13335885   13/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
