2021-10-01 21:49:40 UTC Syncing #13335924 0x208c…d275     0.20 blk/s   42.6 tx/s    4.3 Mgas/s      0+   47 Qed Ancient:#11217523 LI:#13335970    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:40 UTC Syncing #13335925 0x5b2d…d6ff     0.20 blk/s   26.1 tx/s    2.6 Mgas/s      0+   46 Qed Ancient:#11217524 LI:#13335971    8/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:51 UTC Syncing #13335925 0x5b2d…d6ff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#11217524 LI:#13335971    7/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:51 UTC Syncing #13335925 0x5b2d…d6ff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#11217524 LI:#13335971    7/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:54 UTC Syncing #13335925 0x5b2d…d6ff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#11217524 LI:#13335972    5/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:07 UTC Syncing #13335926 0x029f…d021     0.20 blk/s   76.0 tx/s    6.0 Mgas/s      0+   47 Qed Ancient:#11217526 LI:#13335972    4/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:07 UTC Syncing #13335926 0x029f…d021     0.10 blk/s   38.0 tx/s    3.0 Mgas/s      0+   47 Qed Ancient:#11217526 LI:#13335972    4/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:09 UTC Syncing #13335926 0x029f…d021     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#11217526 LI:#13335972    4/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:22 UTC Syncing #13335928 0x2637…cd60     0.20 blk/s   28.5 tx/s    2.6 Mgas/s      0+   45 Qed Ancient:#11217529 LI:#13335972    2/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:22 UTC Syncing #13335927 0x44d0…7fe0     0.20 blk/s   45.2 tx/s    4.2 Mgas/s      0+   46 Qed Ancient:#11217528 LI:#13335972    2/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:50:32 UTC Syncing #13335928 0x2637…cd60     0.10 blk/s    5.9 tx/s    0.5 Mgas/s      0+   45 Qed Ancient:#11217529 LI:#13335972    1/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
