2021-10-01 21:34:24 UTC Syncing #13335887 0x2204…0ebe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11209801 LI:#13335893    1/25 peers      5 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:29 UTC Syncing #13335887 0x2204…0ebe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11209801 LI:#13335893    1/25 peers      5 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:34 UTC Syncing #13335887 0x2204…0ebe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11209801 LI:#13335893    1/25 peers      5 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:39 UTC Syncing #13335887 0x2204…0ebe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11209801 LI:#13335893    1/25 peers      5 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:44 UTC Syncing #13335888 0xb9ca…c515     0.20 blk/s   56.2 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11209802 LI:#13335893    1/25 peers      5 MiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:49 UTC Syncing #13335888 0xb9ca…c515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11209802 LI:#13335893    1/25 peers      5 MiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:54 UTC Syncing #13335888 0xb9ca…c515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11209802 LI:#13335893    1/25 peers      5 MiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:34:59 UTC Syncing #13335888 0xb9ca…c515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11209802 LI:#13335893    1/25 peers      5 MiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:35:04 UTC Syncing #13335888 0xb9ca…c515     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11209802 LI:#13335893    1/25 peers      5 MiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:35:27 UTC Imported #13335893 0xf0e1…8fff (122 txs, 7.18 Mgas, 4965 ms, 38.46 KiB)
2021-10-01 21:35:34 UTC  Ancient:#11210115 AB:#11213050    0/25 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:36:04 UTC  Ancient:#11210872 AB:#11213050    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:36:34 UTC  Ancient:#11210928 AB:#11213050    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:37:04 UTC  Ancient:#11210946 AB:#11213050    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:37:34 UTC  Ancient:#11211658 AB:#11213050    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:38:04 UTC  Ancient:#11213049 AB:#11213050    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
