2021-10-02 04:48:36 UTC Syncing #13337799 0x2110…716a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11321705 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:48:48 UTC Syncing #13337800 0x19d8…9f63     0.20 blk/s   55.8 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#11321706 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:48:48 UTC Syncing #13337800 0x19d8…9f63     0.10 blk/s   27.9 tx/s    3.0 Mgas/s      0+   27 Qed Ancient:#11321706 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:48:51 UTC Syncing #13337800 0x19d8…9f63     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11321706 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:48:56 UTC Syncing #13337800 0x19d8…9f63     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11321706 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:01 UTC Syncing #13337800 0x19d8…9f63     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11321706 LI:#13337828   35/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:06 UTC Syncing #13337800 0x19d8…9f63     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11321706 LI:#13337829   35/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:11 UTC Syncing #13337801 0xa1a6…6f4e     0.20 blk/s   31.2 tx/s    4.7 Mgas/s      0+   28 Qed Ancient:#11321707 LI:#13337830   35/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:16 UTC Syncing #13337803 0x4dbd…7777     0.40 blk/s   54.0 tx/s    2.8 Mgas/s      0+   26 Qed Ancient:#11321709 LI:#13337830   36/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:21 UTC Syncing #13337803 0x4dbd…7777     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11321709 LI:#13337830   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:26 UTC Syncing #13337805 0xa150…b14a     0.40 blk/s   35.0 tx/s    7.8 Mgas/s      0+   24 Qed Ancient:#11321711 LI:#13337830   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:31 UTC Syncing #13337805 0xa150…b14a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321711 LI:#13337830   37/50 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:36 UTC Syncing #13337806 0xb795…faa1     0.20 blk/s   64.4 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#11321712 LI:#13337830   37/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:41 UTC Syncing #13337807 0x15fc…76b0     0.20 blk/s   72.6 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11321713 LI:#13337830   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:46 UTC Syncing #13337807 0x15fc…76b0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321713 LI:#13337830   36/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:51 UTC Syncing #13337810 0xad1c…022e     0.60 blk/s   68.8 tx/s    5.5 Mgas/s      0+   19 Qed Ancient:#11321716 LI:#13337830   37/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:49:56 UTC Syncing #13337810 0xad1c…022e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11321716 LI:#13337830   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:01 UTC Syncing #13337811 0x98ef…5384     0.20 blk/s   72.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11321717 LI:#13337830   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:06 UTC Syncing #13337812 0xf4c6…3017     0.20 blk/s   55.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11321718 LI:#13337831   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:11 UTC Syncing #13337813 0xc5fc…a839     0.20 blk/s   16.8 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#11321719 LI:#13337831   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:16 UTC Syncing #13337815 0x2b6f…2d66     0.40 blk/s   68.6 tx/s    6.4 Mgas/s      0+   15 Qed Ancient:#11321721 LI:#13337831   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:21 UTC Syncing #13337817 0xd4fa…6c64     0.40 blk/s   24.0 tx/s    2.1 Mgas/s      0+   14 Qed Ancient:#11321723 LI:#13337832   38/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:26 UTC Syncing #13337819 0xaa10…2f40     0.40 blk/s   41.4 tx/s    4.2 Mgas/s      0+   12 Qed Ancient:#11321725 LI:#13337832   38/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:31 UTC Syncing #13337819 0xaa10…2f40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11321725 LI:#13337832   38/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:37 UTC Syncing #13337820 0xd0e0…0d35     0.20 blk/s   32.0 tx/s    3.3 Mgas/s      0+   11 Qed Ancient:#11321726 LI:#13337832   39/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:41 UTC Syncing #13337820 0xd0e0…0d35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11321726 LI:#13337832   39/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:46 UTC Syncing #13337821 0xafb7…2689     0.20 blk/s  146.8 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11321727 LI:#13337832   38/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:51 UTC Syncing #13337823 0x6f39…a64d     0.40 blk/s   32.0 tx/s    2.6 Mgas/s      0+    8 Qed Ancient:#11321729 LI:#13337832   38/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:50:56 UTC Syncing #13337824 0x88aa…5027     0.20 blk/s   43.4 tx/s    3.9 Mgas/s      0+    7 Qed Ancient:#11321730 LI:#13337832   38/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:01 UTC Syncing #13337826 0x5b99…e130     0.40 blk/s   40.0 tx/s    6.5 Mgas/s      0+    5 Qed Ancient:#11321732 LI:#13337832   38/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:09 UTC Syncing #13337827 0xf29d…2d93     0.20 blk/s   23.0 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#11321733 LI:#13337834   39/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:11 UTC Syncing #13337828 0x9878…8b1b     0.20 blk/s   34.0 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#11321734 LI:#13337834   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:16 UTC Syncing #13337829 0xb454…d83d     0.20 blk/s   66.4 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11321735 LI:#13337834   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:46 UTC  Ancient:#11321740 AB:#11325037   37/50 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:51:49 UTC Imported #13337835 0xf866…0c12 (287 txs, 25.81 Mgas, 5948 ms, 130.54 KiB)
2021-10-02 04:52:25 UTC  Ancient:#11323894 AB:#11326366   37/50 peers      2 MiB chain   38 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:52:36 UTC Syncing #13337835 0xf866…0c12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11323894 LI:#13337841   36/50 peers      2 MiB chain  742 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
