2021-10-02 04:43:46 UTC Syncing #13337779 0x3a04…5460     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11321646 LI:#13337806   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:43:51 UTC Syncing #13337780 0xec41…4c2e     0.20 blk/s   63.8 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#11321647 LI:#13337806   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:43:56 UTC Syncing #13337780 0xec41…4c2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321647 LI:#13337806   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:01 UTC Syncing #13337780 0xec41…4c2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321647 LI:#13337806   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:06 UTC Syncing #13337780 0xec41…4c2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321647 LI:#13337806   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:11 UTC Syncing #13337780 0xec41…4c2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321647 LI:#13337806   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:16 UTC Syncing #13337781 0xb289…4565     0.20 blk/s   55.2 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#11321648 LI:#13337806   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:21 UTC Syncing #13337781 0xb289…4565     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321648 LI:#13337806   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:26 UTC Syncing #13337781 0xb289…4565     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321648 LI:#13337807   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:31 UTC Syncing #13337782 0xb591…29d5     0.20 blk/s   39.4 tx/s    4.5 Mgas/s      0+   25 Qed Ancient:#11321650 LI:#13337808   32/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:34 UTC Could not revert to previous block, last: 13337808 (0xbcd8…1c5c)
2021-10-02 04:44:36 UTC Syncing #13337783 0x244a…a9d6     0.20 blk/s    3.0 tx/s    0.3 Mgas/s      0+   25 Qed Ancient:#11321651 LI:#13337783   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:41 UTC Syncing #13337783 0x244a…a9d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11321651 LI:#13337783   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:46 UTC Syncing #13337784 0xea79…a76e     0.20 blk/s   30.0 tx/s    2.9 Mgas/s      0+   25 Qed Ancient:#11321652 LI:#13337810   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:51 UTC Syncing #13337785 0xe34d…da84     0.20 blk/s   12.2 tx/s    1.0 Mgas/s      0+   24 Qed Ancient:#11321653 LI:#13337810   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:44:56 UTC Syncing #13337785 0xe34d…da84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321653 LI:#13337810   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:01 UTC Syncing #13337785 0xe34d…da84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11321653 LI:#13337810   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:06 UTC Syncing #13337787 0x85f6…5d60     0.40 blk/s   28.2 tx/s    3.5 Mgas/s      0+   22 Qed Ancient:#11321655 LI:#13337810   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:11 UTC Syncing #13337787 0x85f6…5d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321655 LI:#13337810   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:16 UTC Syncing #13337787 0x85f6…5d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321655 LI:#13337810   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:21 UTC Syncing #13337787 0x85f6…5d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321655 LI:#13337811   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:26 UTC Syncing #13337787 0x85f6…5d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11321655 LI:#13337811   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:31 UTC Syncing #13337788 0x44b0…967f     0.20 blk/s   36.6 tx/s    4.1 Mgas/s      0+   22 Qed Ancient:#11321656 LI:#13337811   31/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:36 UTC Syncing #13337788 0x44b0…967f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11321656 LI:#13337811   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:45:54 UTC Syncing #13337790 0xb3b9…50d5     0.40 blk/s   24.0 tx/s    3.0 Mgas/s      0+   20 Qed Ancient:#11321658 LI:#13337811   30/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
