2021-09-22 02:08:15 UTC Syncing #13272807 0x95ad…de79     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5642153 LI:#13272814    9/25 peers    363 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:08:24 UTC Syncing #13272808 0x6026…5d89     0.20 blk/s  175.6 tx/s    4.4 Mgas/s      0+    7 Qed Ancient:#5642154 LI:#13272815    9/25 peers    643 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:08:31 UTC Syncing #13272810 0x045e…b6a9     0.40 blk/s   54.0 tx/s    3.5 Mgas/s      0+    5 Qed Ancient:#5642156 LI:#13272815    9/25 peers    644 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:08:31 UTC Syncing #13272810 0x045e…b6a9     0.20 blk/s   27.0 tx/s    1.7 Mgas/s      0+    5 Qed Ancient:#5642156 LI:#13272815    9/25 peers    644 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:07 UTC  Ancient:#5642162 AB:#5645460    9/25 peers      1 MiB chain  188 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:07 UTC  Ancient:#5642162 AB:#5645460    9/25 peers      1 MiB chain  188 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:10 UTC Syncing #13272815 0x9689…2f44     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    2 Qed Ancient:#5642162 LI:#13272818    9/25 peers      1 MiB chain  416 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:15 UTC Syncing #13272817 0x3014…e813     0.40 blk/s  110.2 tx/s    7.4 Mgas/s      0+    0 Qed Ancient:#5642164 LI:#13272818    9/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:24 UTC Syncing #13272818 0x733d…6a8f     0.20 blk/s   33.4 tx/s    2.2 Mgas/s      0+    0 Qed Ancient:#5642937 LI:#13272818    9/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:32 UTC Syncing #13272818 0x733d…6a8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5643914 LI:#13272818    9/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:32 UTC Syncing #13272818 0x733d…6a8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5645049 LI:#13272818    9/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:09:39 UTC Reorg to #13272819 0x93bc…9207 (0x733d…6a8f #13272817 0x3014…e813 0xae9d…2747)
2021-09-22 02:10:03 UTC Imported #13272820 0x53ad…3a6a (208 txs, 12.93 Mgas, 15553 ms, 69.77 KiB) + another 1 block(s) containing 167 tx(s)
2021-09-22 02:10:03 UTC  Ancient:#5645460 AB:#5645460    8/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:10:54 UTC  Ancient:#5645700 AB:#5645700    8/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 02:12:04 UTC Syncing #13272821 0xa075…b117     0.01 blk/s    9.3 tx/s    0.4 Mgas/s      0+    6 Qed Ancient:#5645700 LI:#13272826    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
