2021-10-02 02:00:35 UTC Syncing #13337037 0x0f59…e3c5     0.07 blk/s   17.1 tx/s    1.1 Mgas/s      0+   21 Qed Ancient:#11286866 LI:#13337057   11/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:00:35 UTC Syncing #13337037 0x0f59…e3c5     0.07 blk/s   17.1 tx/s    1.1 Mgas/s      0+   21 Qed Ancient:#11287358 LI:#13337057   11/25 peers     18 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:00:35 UTC Syncing #13337037 0x0f59…e3c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11287358 LI:#13337057   11/25 peers    0 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:00:35 UTC Syncing #13337037 0x0f59…e3c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11287358 LI:#13337057   11/25 peers   744 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:00:44 UTC Syncing #13337037 0x0f59…e3c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11287358 LI:#13337058   12/25 peers    433 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:00 UTC Syncing #13337037 0x0f59…e3c5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11287358 LI:#13337059   11/25 peers    689 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:16 UTC Syncing #13337038 0x0d80…9704     0.17 blk/s   49.6 tx/s    5.2 Mgas/s      0+   21 Qed Ancient:#11287359 LI:#13337059   11/25 peers    868 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:16 UTC Syncing #13337038 0x0d80…9704     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11287359 LI:#13337059   11/25 peers    868 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:23 UTC Syncing #13337038 0x0d80…9704     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11287359 LI:#13337059    9/25 peers    970 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:31 UTC Syncing #13337040 0xa918…cfe1     0.20 blk/s   26.7 tx/s    3.2 Mgas/s      0+   20 Qed Ancient:#11287361 LI:#13337060    9/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:31 UTC Syncing #13337040 0xa918…cfe1     0.40 blk/s   53.4 tx/s    6.5 Mgas/s      0+   20 Qed Ancient:#11287361 LI:#13337060    9/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:40 UTC Syncing #13337040 0xa918…cfe1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#11287361 LI:#13337060    9/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:57 UTC Syncing #13337042 0xdf66…fb75     0.40 blk/s   48.6 tx/s    5.4 Mgas/s      0+   18 Qed Ancient:#11287363 LI:#13337060    8/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:57 UTC Syncing #13337043 0x801b…eea5     0.30 blk/s   29.0 tx/s    3.1 Mgas/s      0+   17 Qed Ancient:#11287364 LI:#13337060    8/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:57 UTC Syncing #13337043 0x801b…eea5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11287364 LI:#13337060    8/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:01:57 UTC Syncing #13337043 0x801b…eea5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11287364 LI:#13337060    8/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:04 UTC Syncing #13337043 0x801b…eea5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11287364 LI:#13337060    8/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:21 UTC Syncing #13337044 0x297c…50af     0.20 blk/s   66.4 tx/s    5.0 Mgas/s      0+   16 Qed Ancient:#11287365 LI:#13337060    7/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:21 UTC Syncing #13337045 0x5adb…17ed     0.10 blk/s   13.6 tx/s    0.7 Mgas/s      0+   15 Qed Ancient:#11287366 LI:#13337060    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:21 UTC Syncing #13337045 0x5adb…17ed     0.20 blk/s   46.9 tx/s    3.1 Mgas/s      0+   15 Qed Ancient:#11287366 LI:#13337060    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:34 UTC Syncing #13337045 0x5adb…17ed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11287366 LI:#13337060    5/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:34 UTC Syncing #13337045 0x5adb…17ed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11287366 LI:#13337060    5/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:45 UTC Syncing #13337046 0xa76b…d833     0.20 blk/s   73.0 tx/s    4.8 Mgas/s      0+   14 Qed Ancient:#11287367 LI:#13337060    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:45 UTC Syncing #13337046 0xa76b…d833     0.10 blk/s   36.5 tx/s    2.4 Mgas/s      0+   14 Qed Ancient:#11287367 LI:#13337060    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:02:46 UTC Syncing #13337046 0xa76b…d833     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11287367 LI:#13337060    3/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
