2021-10-02 01:44:55 UTC Syncing #13336970 0x4f02…7c4f     0.10 blk/s   23.2 tx/s    2.0 Mgas/s      0+   14 Qed Ancient:#11283149 LI:#13336984   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:44:55 UTC Syncing #13336970 0x4f02…7c4f     0.20 blk/s   46.4 tx/s    4.0 Mgas/s      0+   14 Qed Ancient:#11283149 LI:#13336984   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:44:56 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283149 LI:#13336985   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:01 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283149 LI:#13336985   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:06 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11283149 LI:#13336986   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:11 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283149 LI:#13336986   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:16 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283149 LI:#13336986   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:21 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283149 LI:#13336987   26/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:26 UTC Syncing #13336970 0x4f02…7c4f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283149 LI:#13336987   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:37 UTC Syncing #13336972 0x503a…4da5     0.20 blk/s   23.6 tx/s    2.9 Mgas/s      0+   16 Qed Ancient:#11283152 LI:#13336988   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:37 UTC Syncing #13336971 0x2cb0…df54     0.20 blk/s   31.6 tx/s    4.6 Mgas/s      0+   17 Qed Ancient:#11283151 LI:#13336988   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:42 UTC Syncing #13336973 0xb50d…b574     0.40 blk/s   23.6 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#11283153 LI:#13336989   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:47 UTC Syncing #13336973 0xb50d…b574     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283153 LI:#13336989   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:53 UTC Syncing #13336974 0x46cb…99e2     0.20 blk/s   24.2 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#11283154 LI:#13336990   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:45:56 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283154 LI:#13336990   26/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:01 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11283154 LI:#13336990   22/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:06 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11283154 LI:#13336991   23/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:11 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11283154 LI:#13336993   23/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:24 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11283154 LI:#13336993   25/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:24 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11283154 LI:#13336993   25/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:26 UTC Syncing #13336974 0x46cb…99e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11283154 LI:#13336997   25/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:35 UTC Syncing #13336975 0xfe5f…5f1f     0.20 blk/s   85.6 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11283156 LI:#13336997   26/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:36 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11283156 LI:#13336997   26/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:41 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11283156 LI:#13336997   27/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:46 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11283156 LI:#13336997   26/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:51 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11283156 LI:#13336998   26/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:46:56 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11283156 LI:#13336998   26/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:01 UTC Syncing #13336975 0xfe5f…5f1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11283156 LI:#13336998   27/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:09 UTC Syncing #13336976 0xd787…add3     0.20 blk/s   58.8 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11283158 LI:#13336998   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:11 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11283158 LI:#13336998   29/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:16 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11283158 LI:#13336999   29/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:21 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:26 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:41 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:47:41 UTC Syncing #13336976 0xd787…add3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#11283158 LI:#13337000   27/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
