2021-09-21 23:44:57 UTC Syncing #13272170 0xd754…4292     0.20 blk/s   13.6 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#5578812 LI:#13272175    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:11 UTC Syncing #13272171 0x1915…09d7     0.07 blk/s   11.7 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#5578813 LI:#13272178    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:18 UTC Syncing #13272171 0x1915…09d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5578813 LI:#13272179    4/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:21 UTC Syncing #13272171 0x1915…09d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5578813 LI:#13272179    3/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:26 UTC Syncing #13272172 0x9ffa…203b     0.20 blk/s   50.4 tx/s    4.2 Mgas/s      0+    6 Qed Ancient:#5578814 LI:#13272179    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:34 UTC Syncing #13272173 0x6637…635b     0.20 blk/s   75.8 tx/s    5.9 Mgas/s      0+    7 Qed Ancient:#5578815 LI:#13272181    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:36 UTC Syncing #13272174 0xbb57…9944     0.20 blk/s   29.2 tx/s    4.3 Mgas/s      0+    7 Qed Ancient:#5578816 LI:#13272182    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:44 UTC Syncing #13272176 0x7f49…0314     0.40 blk/s   46.2 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#5578818 LI:#13272182    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:46 UTC Syncing #13272178 0x2125…7f8f     0.40 blk/s   46.2 tx/s    2.9 Mgas/s      0+    3 Qed Ancient:#5578820 LI:#13272182    2/25 peers      2 MiB chain  589 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:45:51 UTC Syncing #13272178 0x2125…7f8f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed Ancient:#5578820 LI:#13272182    2/25 peers      2 MiB chain  589 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
