2021-07-28 12:49:51 UTC Syncing #12914524 0x6b8a…ce62     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996565 LI:#12914533   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:49:56 UTC Syncing #12914525 0x1644…37a3     0.20 blk/s   35.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6996566 LI:#12914533   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:01 UTC Syncing #12914525 0x1644…37a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996566 LI:#12914533   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:06 UTC Syncing #12914525 0x1644…37a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996566 LI:#12914533   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:11 UTC Syncing #12914525 0x1644…37a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#6996566 LI:#12914535   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:16 UTC Syncing #12914526 0x7843…105e     0.20 blk/s   35.2 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#6996568 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:22 UTC Syncing #12914526 0x7843…105e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#6996568 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:26 UTC Syncing #12914526 0x7843…105e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#6996568 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:31 UTC Syncing #12914527 0xe6f3…ca09     0.20 blk/s   41.4 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#6996570 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:36 UTC Syncing #12914527 0xe6f3…ca09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996570 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:41 UTC Syncing #12914527 0xe6f3…ca09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996570 LI:#12914536   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:47 UTC Syncing #12914528 0x11e5…9596     0.20 blk/s   43.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6996571 LI:#12914536   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:51 UTC Syncing #12914528 0x11e5…9596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996571 LI:#12914536   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:50:56 UTC Syncing #12914529 0x8f1d…4ed2     0.20 blk/s   38.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6996572 LI:#12914536   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:01 UTC Syncing #12914530 0x9ee1…9ac0     0.20 blk/s   40.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6996573 LI:#12914536   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:06 UTC Syncing #12914530 0x9ee1…9ac0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6996573 LI:#12914536   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:11 UTC Syncing #12914531 0x2a1d…0755     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6996574 LI:#12914537   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:16 UTC Syncing #12914531 0x2a1d…0755     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6996574 LI:#12914537   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:21 UTC Syncing #12914532 0x71dd…a26f     0.20 blk/s   49.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6996575 LI:#12914537   27/50 peers      5 MiB chain  839 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:26 UTC Syncing #12914532 0x71dd…a26f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6996575 LI:#12914537   26/50 peers      5 MiB chain  839 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:51:56 UTC  Ancient:#6996579 AB:#6999918   26/50 peers      5 MiB chain  427 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:52:26 UTC  Ancient:#6996581 AB:#6999918   25/25 peers      5 MiB chain  428 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:52:40 UTC Imported #12914540 0x544d…ff22 (223 txs, 15.00 Mgas, 9097 ms, 69.41 KiB)
2021-07-28 12:52:56 UTC  Ancient:#6997354 AB:#7000659   27/50 peers      8 MiB chain  510 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:53:26 UTC  Ancient:#6997358 AB:#7000659   27/50 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:53:32 UTC Imported #12914546 0xe877…a64f (128 txs, 14.99 Mgas, 7425 ms, 45.44 KiB)
