2021-09-21 22:13:17 UTC Syncing #13271766 0x470d…ac95     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5522564 LI:#13271781    3/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:22 UTC Syncing #13271766 0x470d…ac95     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      4+   14 Qed Ancient:#5522564 LI:#13271787    5/25 peers     74 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:28 UTC Syncing #13271766 0x470d…ac95     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522564 LI:#13271787    6/25 peers     74 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:32 UTC Syncing #13271766 0x470d…ac95     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522564 LI:#13271787    7/25 peers     74 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:41 UTC Syncing #13271767 0x9c51…57d2     0.20 blk/s   77.6 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#5522570 LI:#13271787    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:43 UTC Syncing #13271767 0x9c51…57d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522570 LI:#13271788    8/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:13:47 UTC Syncing #13271767 0x9c51…57d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522570 LI:#13271788    9/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:01 UTC Syncing #13271768 0xa5f6…16bc     0.10 blk/s    9.4 tx/s    0.6 Mgas/s      0+   20 Qed Ancient:#5522571 LI:#13271789   10/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:01 UTC Syncing #13271768 0xa5f6…16bc     0.20 blk/s   18.8 tx/s    1.3 Mgas/s      0+   21 Qed Ancient:#5522571 LI:#13271789   10/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:02 UTC Syncing #13271768 0xa5f6…16bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522571 LI:#13271789   10/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:07 UTC Syncing #13271768 0xa5f6…16bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5522571 LI:#13271789   10/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:17 UTC Syncing #13271769 0x2666…86a4     0.20 blk/s   46.6 tx/s    4.5 Mgas/s      0+   21 Qed Ancient:#5522572 LI:#13271791    6/25 peers    752 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:17 UTC Syncing #13271769 0x2666…86a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522572 LI:#13271791    6/25 peers    752 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:26 UTC Syncing #13271769 0x2666…86a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522572 LI:#13271791    6/25 peers    752 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:27 UTC Syncing #13271769 0x2666…86a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522572 LI:#13271791    6/25 peers    752 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:32 UTC Syncing #13271769 0x2666…86a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522572 LI:#13271791    6/25 peers    752 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:41 UTC Syncing #13271770 0xd4aa…6964     0.20 blk/s   38.4 tx/s    3.1 Mgas/s      0+   21 Qed Ancient:#5522573 LI:#13271792    7/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:42 UTC Syncing #13271770 0xd4aa…6964     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522573 LI:#13271792    7/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:52 UTC Syncing #13271771 0xfb2d…a98d     0.20 blk/s   23.6 tx/s    2.7 Mgas/s      0+   20 Qed Ancient:#5522574 LI:#13271792    6/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:52 UTC Syncing #13271771 0xfb2d…a98d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5522574 LI:#13271793    6/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:14:57 UTC Syncing #13271771 0xfb2d…a98d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5522574 LI:#13271794    9/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:07 UTC Syncing #13271772 0x1fc3…9249     0.20 blk/s   22.0 tx/s    1.7 Mgas/s      0+   22 Qed Ancient:#5522575 LI:#13271795    9/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:07 UTC Syncing #13271772 0x1fc3…9249     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5522575 LI:#13271795    9/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:12 UTC Syncing #13271772 0x1fc3…9249     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5522575 LI:#13271795    9/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:15:31 UTC Syncing #13271773 0x109f…839b     0.08 blk/s   10.2 tx/s    1.0 Mgas/s      0+   22 Qed Ancient:#5522576 LI:#13271795   11/25 peers    893 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
