2021-09-21 22:02:59 UTC Syncing #13271729 0xeca4…84d4     0.10 blk/s   29.2 tx/s    2.7 Mgas/s      0+    9 Qed Ancient:#5515392 LI:#13271739   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:02:59 UTC Syncing #13271730 0x0804…38e3     0.12 blk/s   32.7 tx/s    2.9 Mgas/s      0+    9 Qed Ancient:#5515406 LI:#13271739   15/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:04 UTC Syncing #13271731 0x3863…1737     0.38 blk/s    8.8 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#5515407 LI:#13271740   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:13 UTC Syncing #13271731 0x3863…1737     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515407 LI:#13271740   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:13 UTC Syncing #13271731 0x3863…1737     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515407 LI:#13271740   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:16 UTC Syncing #13271731 0x3863…1737     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515407 LI:#13271741   15/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:22 UTC Syncing #13271731 0x3863…1737     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515407 LI:#13271741   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:28 UTC Syncing #13271731 0x3863…1737     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515407 LI:#13271741   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:37 UTC Syncing #13271732 0xb403…c98f     0.10 blk/s   51.3 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#5515408 LI:#13271741   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:03:37 UTC Syncing #13271732 0xb403…c98f     0.20 blk/s  102.6 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5515408 LI:#13271741   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
