2021-10-02 00:08:04 UTC Syncing #13336575 0xa9a2…35c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#11258885 LI:#13336608    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:08 UTC Syncing #13336575 0xa9a2…35c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#11258885 LI:#13336609    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:18 UTC Syncing #13336576 0xfc3c…b84f     0.20 blk/s   85.2 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#11258886 LI:#13336609    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:18 UTC Syncing #13336576 0xfc3c…b84f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#11258886 LI:#13336609    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:23 UTC Syncing #13336576 0xfc3c…b84f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#11258886 LI:#13336609    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:34 UTC Syncing #13336578 0xf492…1d5d     0.20 blk/s   20.5 tx/s    1.9 Mgas/s      0+   31 Qed Ancient:#11258890 LI:#13336609    1/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:34 UTC Syncing #13336577 0x15ee…71d9     0.20 blk/s   30.4 tx/s    3.1 Mgas/s      0+   32 Qed Ancient:#11258887 LI:#13336609    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:39 UTC Syncing #13336579 0x1300…e2ae     0.40 blk/s   23.2 tx/s    1.8 Mgas/s      0+   30 Qed Ancient:#11258891 LI:#13336609    1/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:43 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258891 LI:#13336609    1/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:48 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258891 LI:#13336609    1/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:53 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258891 LI:#13336610    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:08:59 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258891 LI:#13336610    3/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:03 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258891 LI:#13336610    5/25 peers      8 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:08 UTC Syncing #13336579 0x1300…e2ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258891 LI:#13336610    5/25 peers      8 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:18 UTC Syncing #13336580 0x6b3f…ec8b     0.20 blk/s   63.6 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#11258892 LI:#13336610    5/25 peers      8 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:18 UTC Syncing #13336580 0x6b3f…ec8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258892 LI:#13336610    5/25 peers      8 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:23 UTC Syncing #13336580 0x6b3f…ec8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258892 LI:#13336610    5/25 peers      8 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:29 UTC Syncing #13336580 0x6b3f…ec8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258892 LI:#13336610    5/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:33 UTC Syncing #13336580 0x6b3f…ec8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258892 LI:#13336610    5/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:39 UTC Syncing #13336581 0xe844…7458     0.20 blk/s   58.6 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#11258893 LI:#13336613    4/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:48 UTC Syncing #13336582 0xf6d9…86a1     0.20 blk/s    4.0 tx/s    0.4 Mgas/s      0+   31 Qed Ancient:#11258894 LI:#13336613    5/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:56 UTC Syncing #13336583 0xc4a6…3c26     0.20 blk/s   17.8 tx/s    1.9 Mgas/s      0+   31 Qed Ancient:#11258896 LI:#13336614    3/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:09:56 UTC Syncing #13336584 0xf651…d97c     0.20 blk/s   19.2 tx/s    1.7 Mgas/s      0+   30 Qed Ancient:#11258898 LI:#13336614    3/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:06 UTC Syncing #13336584 0xf651…d97c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258898 LI:#13336614    3/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:06 UTC Syncing #13336585 0x5db8…59d7     0.10 blk/s    5.7 tx/s    0.5 Mgas/s      0+   29 Qed Ancient:#11258899 LI:#13336614    3/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:12 UTC Syncing #13336585 0x5db8…59d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258899 LI:#13336615    3/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:14 UTC Syncing #13336585 0x5db8…59d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258899 LI:#13336616    3/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:18 UTC Syncing #13336585 0x5db8…59d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#11258899 LI:#13336617    3/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:26 UTC Syncing #13336586 0x5a4a…6166     0.20 blk/s   42.6 tx/s    4.4 Mgas/s      0+   31 Qed Ancient:#11258900 LI:#13336617    3/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:29 UTC Syncing #13336586 0x5a4a…6166     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258900 LI:#13336617    3/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:33 UTC Syncing #13336586 0x5a4a…6166     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258900 LI:#13336617    5/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:38 UTC Syncing #13336586 0x5a4a…6166     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258900 LI:#13336617    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:48 UTC Syncing #13336587 0xd3ca…32e6     0.20 blk/s   73.2 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#11258901 LI:#13336617    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:48 UTC Syncing #13336587 0xd3ca…32e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258901 LI:#13336618    9/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:54 UTC Syncing #13336587 0xd3ca…32e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258901 LI:#13336618   11/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:10:59 UTC Syncing #13336587 0xd3ca…32e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#11258901 LI:#13336618   13/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:10 UTC Syncing #13336589 0xf5d4…5fa7     0.20 blk/s   32.7 tx/s    4.4 Mgas/s      0+   29 Qed Ancient:#11258903 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:10 UTC Syncing #13336588 0x2a44…0455     0.20 blk/s   47.2 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#11258902 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:16 UTC Syncing #13336590 0x9cfc…3248     0.40 blk/s   22.0 tx/s    3.4 Mgas/s      0+   28 Qed Ancient:#11258904 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:22 UTC Syncing #13336591 0x6830…8571     0.20 blk/s   15.4 tx/s    1.6 Mgas/s      0+   27 Qed Ancient:#11258905 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:23 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11258905 LI:#13336618   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:29 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:39 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:39 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:52 UTC Syncing #13336592 0x9c5b…f847     0.20 blk/s   80.0 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:52 UTC Syncing #13336592 0x9c5b…f847     0.10 blk/s   40.0 tx/s    3.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:53 UTC Syncing #13336592 0x9c5b…f847     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
