2021-10-02 00:13:06 UTC Syncing #13336600 0xd643…403d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11258914 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:13 UTC Syncing #13336601 0xaa51…a926     0.20 blk/s   24.8 tx/s    2.0 Mgas/s      0+   22 Qed Ancient:#11258915 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:13 UTC Syncing #13336601 0xaa51…a926     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258915 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:18 UTC Syncing #13336601 0xaa51…a926     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258915 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:23 UTC Syncing #13336601 0xaa51…a926     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258915 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:31 UTC Syncing #13336601 0xaa51…a926     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258915 LI:#13336623   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:33 UTC Syncing #13336601 0xaa51…a926     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11258915 LI:#13336624   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:56 UTC Syncing #13336603 0x1f45…96a1     0.40 blk/s   90.4 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11258917 LI:#13336625   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:56 UTC Syncing #13336603 0x1f45…96a1     0.20 blk/s   45.2 tx/s    3.0 Mgas/s      0+   22 Qed Ancient:#11258917 LI:#13336625   10/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:13:56 UTC Syncing #13336603 0x1f45…96a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11258917 LI:#13336625    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
