2021-09-22 01:43:28 UTC Syncing #13272698 0x7379…922a     0.20 blk/s   47.6 tx/s    4.8 Mgas/s      0+    6 Qed Ancient:#5631397 LI:#13272704   16/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:33 UTC Syncing #13272699 0xa9fc…30d1     0.20 blk/s   14.4 tx/s    0.5 Mgas/s      0+    6 Qed Ancient:#5631398 LI:#13272705   16/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:43 UTC Syncing #13272699 0xa9fc…30d1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631398 LI:#13272705   16/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:43 UTC Syncing #13272699 0xa9fc…30d1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631398 LI:#13272705   15/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:50 UTC Syncing #13272700 0x413a…4d24     0.20 blk/s   25.2 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   15/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:53 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   15/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:43:58 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   17/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:03 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   16/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:08 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   18/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:13 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   20/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:18 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   21/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:23 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5631400 LI:#13272705   19/25 peers    215 KiB chain  955 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:30 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631400 LI:#13272707   19/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:33 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631400 LI:#13272707   18/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:39 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631400 LI:#13272707   18/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:44 UTC Syncing #13272700 0x413a…4d24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631400 LI:#13272707   16/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:49 UTC Syncing #13272701 0x0bbb…2552     0.20 blk/s   41.0 tx/s    3.9 Mgas/s      0+    6 Qed Ancient:#5631401 LI:#13272707   15/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:53 UTC Syncing #13272702 0x1fe8…8e02     0.20 blk/s    4.2 tx/s    0.3 Mgas/s      0+    5 Qed Ancient:#5631402 LI:#13272707   15/25 peers    216 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:44:58 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631402 LI:#13272708   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:03 UTC Syncing #13272702 0x1fe8…8e02     0.20 blk/s   41.0 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#5631404 LI:#13272708   15/25 peers    516 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:08 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631404 LI:#13272709   15/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:13 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631404 LI:#13272709   20/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:18 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5631404 LI:#13272709   16/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:23 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631404 LI:#13272710   16/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:33 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631404 LI:#13272710   16/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:33 UTC Syncing #13272702 0x1fe8…8e02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5631404 LI:#13272711   14/25 peers    516 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:42 UTC Syncing #13272703 0xab7d…6ab8     0.20 blk/s   52.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5631405 LI:#13272712   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:46 UTC Syncing #13272704 0xa36a…8c8a     0.20 blk/s   12.2 tx/s    1.3 Mgas/s      0+    8 Qed Ancient:#5631406 LI:#13272713   15/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:50 UTC Syncing #13272704 0xa36a…8c8a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5631406 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:45:56 UTC Syncing #13272705 0x486c…c841     0.20 blk/s   29.0 tx/s    1.9 Mgas/s      0+    8 Qed Ancient:#5631407 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:07 UTC Syncing #13272705 0x486c…c841     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5631407 LI:#13272714   14/25 peers    657 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:07 UTC Syncing #13272707 0x0c82…23fa     0.20 blk/s   38.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#5631409 LI:#13272715   14/25 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:08 UTC Syncing #13272707 0x0c82…23fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5631409 LI:#13272716   14/25 peers    658 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:15 UTC Syncing #13272708 0x1502…629f     0.20 blk/s   76.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5631410 LI:#13272716   14/25 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:20 UTC Syncing #13272709 0x82ba…1c2b     0.20 blk/s   62.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5631411 LI:#13272716   14/25 peers    938 KiB chain  787 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:46:25 UTC Syncing #13272709 0x82ba…1c2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5631411 LI:#13272717   12/25 peers    938 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
