2021-09-22 01:39:30 UTC Syncing #13272678 0x96c8…7cc3     0.20 blk/s    8.0 tx/s    0.5 Mgas/s      0+    8 Qed Ancient:#5628570 LI:#13272687   24/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:39:34 UTC Syncing #13272678 0x96c8…7cc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5628570 LI:#13272688   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:39:38 UTC Syncing #13272678 0x96c8…7cc3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5628570 LI:#13272688   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:39:55 UTC Syncing #13272682 0xe3b0…b4b3     0.40 blk/s   47.3 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5628574 LI:#13272688   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:39:55 UTC Syncing #13272682 0xe3b0…b4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5628574 LI:#13272688   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:39:55 UTC Syncing #13272680 0xd06b…c477     0.40 blk/s   87.0 tx/s    6.1 Mgas/s      0+    7 Qed Ancient:#5628572 LI:#13272688   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:00 UTC Syncing #13272682 0xe3b0…b4b3     0.40 blk/s    7.6 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#5628574 LI:#13272688   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:03 UTC Syncing #13272682 0xe3b0…b4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628574 LI:#13272689   23/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:08 UTC Syncing #13272682 0xe3b0…b4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5628574 LI:#13272689   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:40:19 UTC Syncing #13272683 0x200c…f970     0.10 blk/s   19.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#5628575 LI:#13272690   23/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
