2021-09-22 01:52:58 UTC Syncing #13272726 0x7456…1cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5637297 LI:#13272736    0/25 peers     77 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:08 UTC Syncing #13272727 0x48e5…ea68     0.20 blk/s   72.2 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5637297 LI:#13272748    1/25 peers    112 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:09 UTC Syncing #13272727 0x48e5…ea68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5637297 LI:#13272748    1/25 peers    112 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:13 UTC Syncing #13272727 0x48e5…ea68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637297 LI:#13272749    5/25 peers    112 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:19 UTC Syncing #13272727 0x48e5…ea68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637297 LI:#13272749    5/25 peers    112 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:24 UTC Syncing #13272727 0x48e5…ea68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637297 LI:#13272749    5/25 peers    112 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:29 UTC Syncing #13272727 0x48e5…ea68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5637297 LI:#13272749    5/25 peers    112 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:46 UTC Syncing #13272728 0x6c92…aa22     0.10 blk/s   35.7 tx/s    3.0 Mgas/s      0+   20 Qed Ancient:#5637298 LI:#13272749    5/25 peers    154 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:46 UTC Syncing #13272728 0x6c92…aa22     0.20 blk/s   71.4 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#5637298 LI:#13272749    5/25 peers    154 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:46 UTC Syncing #13272728 0x6c92…aa22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5637298 LI:#13272749    5/25 peers    154 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:49 UTC Syncing #13272728 0x6c92…aa22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5637298 LI:#13272749    2/25 peers    154 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:59 UTC Syncing #13272730 0xfe8a…6665     0.20 blk/s   22.9 tx/s    2.5 Mgas/s      0+   21 Qed Ancient:#5637300 LI:#13272752    2/25 peers    225 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:53:59 UTC Syncing #13272729 0x3f4f…c29e     0.20 blk/s   34.0 tx/s    4.0 Mgas/s      0+   22 Qed Ancient:#5637299 LI:#13272752    2/25 peers    224 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:06 UTC Syncing #13272730 0xfe8a…6665     0.20 blk/s   11.8 tx/s    0.9 Mgas/s      0+   21 Qed Ancient:#5637300 LI:#13272754    2/25 peers    225 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:54:09 UTC Syncing #13272730 0xfe8a…6665     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5637300 LI:#13272754    2/25 peers    225 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
