2021-09-22 01:06:56 UTC Syncing #13272521 0x1469…80ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616990 LI:#13272539   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:01 UTC Syncing #13272521 0x1469…80ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616990 LI:#13272539   27/50 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:06 UTC Syncing #13272521 0x1469…80ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616990 LI:#13272539   29/50 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:16 UTC Syncing #13272522 0xeb43…26a4     0.10 blk/s   34.0 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#5616991 LI:#13272539   29/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:16 UTC Syncing #13272522 0xeb43…26a4     0.20 blk/s   68.0 tx/s    5.0 Mgas/s      0+   17 Qed Ancient:#5616991 LI:#13272539   29/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:21 UTC Syncing #13272522 0xeb43…26a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5616991 LI:#13272539   30/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:26 UTC Syncing #13272522 0xeb43…26a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5616991 LI:#13272539   30/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:31 UTC Syncing #13272522 0xeb43…26a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616991 LI:#13272540   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:36 UTC Syncing #13272522 0xeb43…26a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616991 LI:#13272540   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:07:41 UTC Syncing #13272522 0xeb43…26a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5616991 LI:#13272540   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
