2021-09-22 01:19:13 UTC Syncing #13272576 0x8ecf…2fcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5622045 LI:#13272590   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:19:19 UTC Syncing #13272577 0x5c88…68a6     0.34 blk/s  113.0 tx/s    8.6 Mgas/s      0+   12 Qed Ancient:#5622046 LI:#13272590   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:19:26 UTC Syncing #13272578 0x80b2…8bea     0.20 blk/s   19.2 tx/s    1.3 Mgas/s      0+   11 Qed Ancient:#5622047 LI:#13272590   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:19:26 UTC Syncing #13272578 0x80b2…8bea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5622047 LI:#13272590   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:19:38 UTC Syncing #13272578 0x80b2…8bea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5622047 LI:#13272591   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:19:47 UTC Syncing #13272579 0x52bf…6cc4     0.12 blk/s   40.6 tx/s    3.3 Mgas/s      0+   13 Qed Ancient:#5622064 LI:#13272592   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:20:05 UTC Syncing #13272579 0x52bf…6cc4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5622682 LI:#13272595   18/25 peers     36 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:20:23 UTC Syncing #13272579 0x52bf…6cc4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5622966 LI:#13272596   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:20:23 UTC Syncing #13272580 0xe661…89a0     0.15 blk/s   18.6 tx/s    1.5 Mgas/s      0+   16 Qed Ancient:#5623218 LI:#13272596   17/25 peers      9 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:20:44 UTC Syncing #13272580 0xe661…89a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5623865 LI:#13272597   17/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
