2021-10-01 19:02:24 UTC Syncing #13335230 0xafde…156b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164801 LI:#13335249    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:02:38 UTC Syncing #13335230 0xafde…156b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164801 LI:#13335249    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:02:38 UTC Syncing #13335230 0xafde…156b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164801 LI:#13335249    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:02:39 UTC Syncing #13335230 0xafde…156b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11164801 LI:#13335250    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:02:53 UTC Syncing #13335231 0x967f…1394     0.20 blk/s   50.4 tx/s    5.5 Mgas/s      0+   18 Qed Ancient:#11164802 LI:#13335250    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:02:53 UTC Syncing #13335232 0x3db3…255d     0.20 blk/s   43.8 tx/s    4.4 Mgas/s      0+   17 Qed Ancient:#11164803 LI:#13335250    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:01 UTC Syncing #13335234 0xbd99…d7a4     0.20 blk/s    8.5 tx/s    0.7 Mgas/s      0+   16 Qed Ancient:#11164805 LI:#13335251    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:01 UTC Syncing #13335232 0x3db3…255d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164803 LI:#13335251    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:08 UTC Syncing #13335234 0xbd99…d7a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164805 LI:#13335253    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:03:09 UTC Syncing #13335234 0xbd99…d7a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164805 LI:#13335253    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
