2021-10-01 18:51:54 UTC Syncing #13335189 0x8b46…66a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163370 LI:#13335200    3/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:00 UTC Syncing #13335190 0xa468…b26b     0.20 blk/s   58.2 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11163372 LI:#13335200    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:11 UTC Syncing #13335191 0x9d0d…2bbd     0.10 blk/s    8.5 tx/s    0.5 Mgas/s      0+    8 Qed Ancient:#11163374 LI:#13335200    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:11 UTC Syncing #13335191 0x9d0d…2bbd     0.20 blk/s   17.0 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#11163374 LI:#13335200    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:14 UTC Syncing #13335191 0x9d0d…2bbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11163374 LI:#13335200    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:20 UTC Syncing #13335191 0x9d0d…2bbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11163374 LI:#13335200    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:31 UTC Syncing #13335192 0xa342…0338     0.20 blk/s   46.2 tx/s    4.3 Mgas/s      0+    9 Qed Ancient:#11163375 LI:#13335202    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:31 UTC Syncing #13335193 0x3168…f426     0.20 blk/s   38.1 tx/s    3.4 Mgas/s      0+    8 Qed Ancient:#11163376 LI:#13335202    2/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:40 UTC Syncing #13335193 0x3168…f426     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11163376 LI:#13335203    2/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:40 UTC Syncing #13335193 0x3168…f426     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11163376 LI:#13335203    2/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:44 UTC Syncing #13335193 0x3168…f426     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163376 LI:#13335204    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:52:54 UTC Syncing #13335194 0x2190…616b     0.20 blk/s   80.0 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11163377 LI:#13335205    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
