2021-09-22 03:25:59 UTC Syncing #13273130 0xa139…33a5     0.10 blk/s   12.7 tx/s    1.2 Mgas/s      0+   11 Qed Ancient:#5681401 LI:#13273142   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:59 UTC Syncing #13273129 0x4584…2af2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681400 LI:#13273142   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:25:59 UTC accept error: Inappropriate ioctl for device (os error 25)
2021-09-22 03:26:05 UTC Syncing #13273130 0xa139…33a5     0.20 blk/s   25.4 tx/s    2.5 Mgas/s      0+   11 Qed Ancient:#5681401 LI:#13273142   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:05 UTC Syncing #13273130 0xa139…33a5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681401 LI:#13273142   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:20 UTC Syncing #13273130 0xa139…33a5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681401 LI:#13273143   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:20 UTC Syncing #13273130 0xa139…33a5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681401 LI:#13273143   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:27 UTC Syncing #13273131 0x34d4…450e     0.19 blk/s   67.1 tx/s    5.8 Mgas/s      0+   11 Qed Ancient:#5681402 LI:#13273143   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:34 UTC Syncing #13273131 0x34d4…450e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681402 LI:#13273143   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:35 UTC Syncing #13273131 0x34d4…450e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681402 LI:#13273147   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:40 UTC Syncing #13273131 0x34d4…450e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681402 LI:#13273147   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:52 UTC Syncing #13273131 0x34d4…450e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681402 LI:#13273147   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:26:52 UTC Syncing #13273131 0x34d4…450e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681402 LI:#13273147   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:04 UTC Syncing #13273132 0xf36d…b0bd     0.20 blk/s   58.6 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5681403 LI:#13273147   14/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:04 UTC Syncing #13273133 0x64d4…59f2     0.20 blk/s   36.8 tx/s    3.8 Mgas/s      0+   13 Qed Ancient:#5681404 LI:#13273147   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:11 UTC Syncing #13273133 0x64d4…59f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681404 LI:#13273147   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:27:11 UTC Syncing #13273133 0x64d4…59f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681404 LI:#13273147   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
