2021-09-22 03:30:50 UTC Syncing #13273149 0xf774…a0cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5681446 LI:#13273163   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:30:55 UTC Syncing #13273149 0xf774…a0cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5681446 LI:#13273163   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:00 UTC Syncing #13273149 0xf774…a0cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5681446 LI:#13273164   23/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:12 UTC Syncing #13273150 0xf638…b7a6     0.10 blk/s   51.5 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#5681447 LI:#13273164   23/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:12 UTC Syncing #13273150 0xf638…b7a6     0.20 blk/s  103.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#5681447 LI:#13273164   23/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:15 UTC Syncing #13273150 0xf638…b7a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5681447 LI:#13273165   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:26 UTC Syncing #13273152 0x00be…18b7     0.30 blk/s   30.1 tx/s    3.3 Mgas/s      0+   14 Qed Ancient:#5681450 LI:#13273165   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:26 UTC Syncing #13273151 0x22a1…8639     0.20 blk/s   31.8 tx/s    3.6 Mgas/s      0+   16 Qed Ancient:#5681448 LI:#13273165   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:33 UTC Syncing #13273152 0x00be…18b7     0.40 blk/s   28.4 tx/s    3.1 Mgas/s      0+   14 Qed Ancient:#5681450 LI:#13273165   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:35 UTC Syncing #13273152 0x00be…18b7     0.20 blk/s   21.6 tx/s    2.0 Mgas/s      0+   15 Qed Ancient:#5681451 LI:#13273167   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:31:49 UTC Syncing #13273152 0x00be…18b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681451 LI:#13273167   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
