2021-05-09 11:14:01 UTC Syncing #12399684 0xb640…87c9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  172 Qed Ancient:#12123231 LI:#12399851   36/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:14:06 UTC Syncing #12399685 0x0945…3c93     0.20 blk/s   49.0 tx/s    3.0 Mgas/s      0+  172 Qed Ancient:#12123349 LI:#12399852   35/50 peers      5 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:14 UTC Syncing #12399686 0xc8a9…75d7     0.01 blk/s    1.3 tx/s    0.1 Mgas/s      0+  179 Qed Ancient:#12126593 LI:#12399859   32/50 peers     75 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:16 UTC Syncing #12399686 0xc8a9…75d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399859   32/50 peers     74 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:21 UTC Syncing #12399686 0xc8a9…75d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399859   33/50 peers     74 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:26 UTC Syncing #12399687 0x4aa6…3d15     0.20 blk/s   43.8 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399860   33/50 peers     91 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:31 UTC Syncing #12399687 0x4aa6…3d15     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  179 Qed Ancient:#12126593 LI:#12399861   33/50 peers     91 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:36 UTC Syncing #12399688 0xef8a…ecea     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399861   33/50 peers    109 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:41 UTC Syncing #12399688 0xef8a…ecea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399861   33/50 peers    109 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:46 UTC Syncing #12399689 0xd128…4849     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12126593 LI:#12399862   33/50 peers    144 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:51 UTC Syncing #12399690 0x0b5c…e5ff     0.20 blk/s   48.4 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12126593 LI:#12399862   33/50 peers    144 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:16:56 UTC Syncing #12399690 0x0b5c…e5ff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12126593 LI:#12399862   33/50 peers    144 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:17:01 UTC Syncing #12399691 0x519b…551d     0.20 blk/s   45.2 tx/s    3.0 Mgas/s      0+  176 Qed Ancient:#12126593 LI:#12399862   33/50 peers    214 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
