2021-10-02 03:47:19 UTC Syncing #13337543 0xf535…8428     0.20 blk/s   48.2 tx/s    4.2 Mgas/s      0+   15 Qed Ancient:#11309012 LI:#13337559   28/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:24 UTC Syncing #13337543 0xf535…8428     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11309012 LI:#13337559   29/50 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:29 UTC Syncing #13337544 0xa5d1…062d     0.20 blk/s   22.4 tx/s    1.9 Mgas/s      0+   14 Qed Ancient:#11309013 LI:#13337559   29/50 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:34 UTC Syncing #13337545 0xe571…cd66     0.20 blk/s   20.0 tx/s    1.8 Mgas/s      0+   13 Qed Ancient:#11309014 LI:#13337559   29/50 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:39 UTC Syncing #13337545 0xe571…cd66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11309014 LI:#13337559   31/50 peers    357 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:44 UTC Syncing #13337545 0xe571…cd66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11309014 LI:#13337561   30/50 peers    357 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:49 UTC Syncing #13337546 0xae3b…ffe0     0.20 blk/s   36.4 tx/s    3.1 Mgas/s      0+   14 Qed Ancient:#11309015 LI:#13337561   30/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:54 UTC Syncing #13337546 0xae3b…ffe0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309015 LI:#13337563   30/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:47:59 UTC Syncing #13337546 0xae3b…ffe0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11309015 LI:#13337563   30/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:04 UTC Syncing #13337546 0xae3b…ffe0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11309015 LI:#13337564   29/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:09 UTC Syncing #13337547 0x0b1d…ece1     0.20 blk/s   58.2 tx/s    5.1 Mgas/s      0+   16 Qed Ancient:#11309016 LI:#13337564   29/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:14 UTC Syncing #13337548 0x4735…39cb     0.20 blk/s   43.0 tx/s    4.7 Mgas/s      0+   15 Qed Ancient:#11309017 LI:#13337564   29/50 peers    638 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:19 UTC Syncing #13337550 0x4461…67c8     0.40 blk/s   24.6 tx/s    2.3 Mgas/s      0+   13 Qed Ancient:#11309019 LI:#13337564   29/50 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:24 UTC Syncing #13337551 0xb6f6…d798     0.20 blk/s   48.2 tx/s    3.7 Mgas/s      0+   13 Qed Ancient:#11309020 LI:#13337565   30/50 peers    639 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:29 UTC Syncing #13337552 0xd34c…bfa4     0.20 blk/s   32.8 tx/s    2.4 Mgas/s      0+   13 Qed Ancient:#11309021 LI:#13337566   30/50 peers    639 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:34 UTC Syncing #13337554 0xf992…bade     0.40 blk/s   28.6 tx/s    2.7 Mgas/s      0+   12 Qed Ancient:#11309023 LI:#13337567   30/50 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:48:39 UTC Syncing #13337555 0xddfc…ba75     0.20 blk/s   57.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11309024 LI:#13337567   30/50 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
