2021-10-02 03:52:54 UTC Syncing #13337575 0x01b1…3e96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310772 LI:#13337580   26/50 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:52:59 UTC Syncing #13337575 0x01b1…3e96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11310772 LI:#13337580   27/50 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:04 UTC Syncing #13337575 0x01b1…3e96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310772 LI:#13337582   27/50 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:09 UTC Syncing #13337575 0x01b1…3e96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310772 LI:#13337583   27/50 peers    639 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:14 UTC Syncing #13337577 0xa291…25ae     0.40 blk/s   60.4 tx/s    4.4 Mgas/s      0+    5 Qed Ancient:#11310775 LI:#13337583   27/50 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:19 UTC Syncing #13337577 0xa291…25ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310775 LI:#13337583   26/50 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:24 UTC Syncing #13337577 0xa291…25ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310775 LI:#13337584   25/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:29 UTC Syncing #13337577 0xa291…25ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310775 LI:#13337584   25/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:34 UTC Syncing #13337577 0xa291…25ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310775 LI:#13337585   25/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:39 UTC Syncing #13337578 0x8e5d…9bc8     0.20 blk/s   74.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11310776 LI:#13337586   25/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:44 UTC Syncing #13337579 0xf10c…0260     0.20 blk/s    9.6 tx/s    1.3 Mgas/s      0+    6 Qed Ancient:#11310777 LI:#13337586   25/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:49 UTC Syncing #13337579 0xf10c…0260     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11310777 LI:#13337587   25/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:54 UTC Syncing #13337579 0xf10c…0260     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310777 LI:#13337588   25/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:53:59 UTC Syncing #13337579 0xf10c…0260     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11310777 LI:#13337589   26/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:04 UTC Syncing #13337580 0x8ad3…8412     0.20 blk/s   72.4 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11310778 LI:#13337589   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:09 UTC Syncing #13337580 0x8ad3…8412     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310778 LI:#13337589   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:14 UTC Syncing #13337581 0x2ec0…d111     0.20 blk/s   32.0 tx/s    2.9 Mgas/s      0+    8 Qed Ancient:#11310779 LI:#13337590   26/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:19 UTC Syncing #13337581 0x2ec0…d111     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11310779 LI:#13337590   26/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:24 UTC Syncing #13337583 0x10a9…f46e     0.40 blk/s   23.6 tx/s    2.3 Mgas/s      0+    6 Qed Ancient:#11310781 LI:#13337590   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:29 UTC Syncing #13337583 0x10a9…f46e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11310781 LI:#13337590   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:34 UTC Syncing #13337584 0x8267…a016     0.20 blk/s    9.8 tx/s    0.9 Mgas/s      0+    5 Qed Ancient:#11310782 LI:#13337590   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:54:39 UTC Syncing #13337584 0x8267…a016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11310782 LI:#13337590   25/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
