2021-05-09 10:24:16 UTC Syncing #12399392 0xf9a4…ff53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399600   39/50 peers      9 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:21 UTC Syncing #12399392 0xf9a4…ff53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399601   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:26 UTC Syncing #12399392 0xf9a4…ff53     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399602   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:31 UTC Syncing #12399393 0xaec3…0aa5     0.20 blk/s   50.6 tx/s    3.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399603   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:36 UTC Syncing #12399393 0xaec3…0aa5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399603   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:41 UTC Syncing #12399394 0x1a4c…0aab     0.20 blk/s   39.4 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399603   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:46 UTC Syncing #12399394 0x1a4c…0aab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399603   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:51 UTC Syncing #12399395 0x4164…3eaf     0.20 blk/s   48.4 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399603   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:24:56 UTC Syncing #12399395 0x4164…3eaf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399603   39/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:25:01 UTC Syncing #12399395 0x4164…3eaf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399603   38/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
