2021-09-21 19:40:19 UTC Syncing #13271045 0xb1db…869d     0.20 blk/s   52.6 tx/s    2.0 Mgas/s      0+   22 Qed Ancient:#5411238 LI:#13271067   27/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:24 UTC Syncing #13271046 0x5417…178c     0.20 blk/s   34.6 tx/s    3.5 Mgas/s      0+   22 Qed Ancient:#5411239 LI:#13271068   27/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:29 UTC Syncing #13271047 0x8a34…9052     0.20 blk/s   17.8 tx/s    1.1 Mgas/s      0+   21 Qed Ancient:#5411240 LI:#13271068   27/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:34 UTC Syncing #13271048 0x46e1…d43a     0.20 blk/s   51.4 tx/s    4.4 Mgas/s      0+   21 Qed Ancient:#5411241 LI:#13271069   28/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:39 UTC Syncing #13271048 0x46e1…d43a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5411241 LI:#13271069   28/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:44 UTC Syncing #13271049 0x9e0f…065a     0.20 blk/s  112.4 tx/s    5.9 Mgas/s      0+   20 Qed Ancient:#5411242 LI:#13271069   27/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:49 UTC Syncing #13271049 0x9e0f…065a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5411242 LI:#13271069   27/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:54 UTC Syncing #13271050 0x1eeb…294e     0.20 blk/s   37.6 tx/s    3.8 Mgas/s      0+   20 Qed Ancient:#5411243 LI:#13271070   27/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:40:59 UTC Syncing #13271052 0xb215…22ac     0.40 blk/s   74.0 tx/s    4.3 Mgas/s      0+   18 Qed Ancient:#5411245 LI:#13271070   27/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:04 UTC Syncing #13271052 0xb215…22ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5411245 LI:#13271071   27/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:09 UTC Syncing #13271053 0x8aa8…4703     0.20 blk/s   80.6 tx/s    4.9 Mgas/s      0+   18 Qed Ancient:#5411246 LI:#13271071   27/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:14 UTC Syncing #13271053 0x8aa8…4703     0.20 blk/s   78.4 tx/s    4.8 Mgas/s      0+   17 Qed Ancient:#5411247 LI:#13271071   29/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:19 UTC Syncing #13271053 0x8aa8…4703     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5411247 LI:#13271071   29/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:24 UTC Syncing #13271054 0x71f2…125c     0.20 blk/s   92.2 tx/s    4.4 Mgas/s      0+   16 Qed Ancient:#5411248 LI:#13271071   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:29 UTC Syncing #13271056 0xd0a8…ec26     0.40 blk/s   48.4 tx/s    2.4 Mgas/s      0+   15 Qed Ancient:#5411250 LI:#13271072   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:34 UTC Syncing #13271056 0xd0a8…ec26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5411250 LI:#13271072   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:39 UTC Syncing #13271058 0xe42a…4155     0.40 blk/s  122.4 tx/s    7.2 Mgas/s      0+   14 Qed Ancient:#5411252 LI:#13271073   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:44 UTC Syncing #13271058 0xe42a…4155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5411252 LI:#13271073   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:49 UTC Syncing #13271058 0xe42a…4155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5411252 LI:#13271074   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:54 UTC Syncing #13271058 0xe42a…4155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5411252 LI:#13271074   28/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:41:59 UTC Syncing #13271060 0x0c7f…e38c     0.40 blk/s  144.2 tx/s    7.8 Mgas/s      0+   13 Qed Ancient:#5411254 LI:#13271074   29/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:04 UTC Syncing #13271060 0x0c7f…e38c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5411254 LI:#13271074   29/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:09 UTC Syncing #13271060 0x0c7f…e38c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5411254 LI:#13271074   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:14 UTC Syncing #13271061 0x9684…21a2     0.20 blk/s   87.0 tx/s    4.5 Mgas/s      0+   12 Qed Ancient:#5411256 LI:#13271074   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:19 UTC Syncing #13271061 0x9684…21a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5411256 LI:#13271074   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:24 UTC Syncing #13271061 0x9684…21a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5411256 LI:#13271075   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:29 UTC Syncing #13271062 0xa828…aa7c     0.20 blk/s  152.6 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5411257 LI:#13271076   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:34 UTC Syncing #13271063 0x3227…ad1c     0.20 blk/s   63.2 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#5411258 LI:#13271076   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:39 UTC Syncing #13271064 0xfa58…3d2e     0.20 blk/s   36.6 tx/s    3.1 Mgas/s      0+   11 Qed Ancient:#5411259 LI:#13271076   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:44 UTC Syncing #13271066 0x7787…77ab     0.40 blk/s   71.6 tx/s    2.9 Mgas/s      0+   10 Qed Ancient:#5411261 LI:#13271077   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:49 UTC Syncing #13271066 0x7787…77ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5411261 LI:#13271077   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:54 UTC Syncing #13271067 0xe3fb…5136     0.20 blk/s   52.0 tx/s    5.3 Mgas/s      0+    9 Qed Ancient:#5411262 LI:#13271077   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:42:59 UTC Syncing #13271067 0xe3fb…5136     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5411262 LI:#13271077   32/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:04 UTC Syncing #13271069 0xba3d…5054     0.40 blk/s  121.8 tx/s    6.3 Mgas/s      0+    7 Qed Ancient:#5411264 LI:#13271077   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:09 UTC Syncing #13271069 0xba3d…5054     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5411264 LI:#13271077   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:14 UTC Syncing #13271070 0x4c02…3268     0.20 blk/s   62.2 tx/s    3.9 Mgas/s      0+    8 Qed Ancient:#5411265 LI:#13271079   32/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:19 UTC Syncing #13271071 0x8a81…c770     0.20 blk/s   34.6 tx/s    1.7 Mgas/s      0+    7 Qed Ancient:#5411266 LI:#13271079   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:24 UTC Syncing #13271071 0x8a81…c770     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5411266 LI:#13271080   32/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:29 UTC Syncing #13271072 0x1459…3938     0.20 blk/s   84.8 tx/s    5.5 Mgas/s      0+    7 Qed Ancient:#5411268 LI:#13271080   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:34 UTC Syncing #13271074 0x37f7…33e2     0.40 blk/s   74.6 tx/s    3.7 Mgas/s      0+    5 Qed Ancient:#5411270 LI:#13271080   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:39 UTC Syncing #13271074 0x37f7…33e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5411270 LI:#13271080   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:44 UTC Syncing #13271074 0x37f7…33e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5411270 LI:#13271081   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:49 UTC Syncing #13271075 0x0e2c…3873     0.20 blk/s  141.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5411271 LI:#13271081   33/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:54 UTC Syncing #13271076 0x50db…74e3     0.20 blk/s   35.6 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#5411272 LI:#13271082   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:43:59 UTC Syncing #13271076 0x50db…74e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5411272 LI:#13271083   32/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:44:04 UTC Syncing #13271077 0xb650…e5f9     0.20 blk/s   66.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#5411273 LI:#13271083   33/50 peers      4 MiB chain 1009 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:44:09 UTC Syncing #13271077 0xb650…e5f9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5411273 LI:#13271083   32/50 peers      4 MiB chain 1009 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
