2021-10-01 22:05:29 UTC Syncing #13335979 0x459d…151e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11219669 LI:#13336037   32/50 peers     38 KiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:29 UTC Syncing #13335979 0x459d…151e     0.08 blk/s   14.3 tx/s    1.2 Mgas/s      0+   57 Qed Ancient:#11219669 LI:#13336037   32/50 peers    0 bytes chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:35 UTC Syncing #13335980 0x119e…ea08     0.15 blk/s   16.3 tx/s    1.1 Mgas/s      0+   61 Qed Ancient:#11219670 LI:#13336041   30/50 peers    109 KiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:40 UTC Syncing #13335980 0x119e…ea08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11219670 LI:#13336041   26/50 peers    109 KiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:45 UTC Syncing #13335980 0x119e…ea08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11219670 LI:#13336041   26/50 peers    109 KiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:50 UTC Syncing #13335980 0x119e…ea08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11219670 LI:#13336041   28/50 peers    109 KiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:05:55 UTC Syncing #13335980 0x119e…ea08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11219670 LI:#13336042   29/50 peers    109 KiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:00 UTC Syncing #13335980 0x119e…ea08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11219670 LI:#13336042   29/50 peers    109 KiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:05 UTC Syncing #13335981 0xbca7…609c     0.20 blk/s   28.2 tx/s    3.1 Mgas/s      0+   61 Qed Ancient:#11219671 LI:#13336042   29/50 peers    144 KiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:29 UTC Syncing #13335982 0x5116…f0e5     0.04 blk/s    4.2 tx/s    0.3 Mgas/s      0+   62 Qed Ancient:#11219847 LI:#13336043   30/50 peers      2 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:52 UTC Syncing #13335983 0xf0bd…a689     0.06 blk/s    5.5 tx/s    0.4 Mgas/s      0+   61 Qed Ancient:#11219854 LI:#13336044   30/50 peers      2 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:52 UTC Syncing #13335983 0xf0bd…a689     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11220014 LI:#13336044   30/50 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:58 UTC Syncing #13335984 0xf1c6…0128     0.49 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220015 LI:#13336044   27/50 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:06:59 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11220084 LI:#13336044   27/50 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:15 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11220086 LI:#13336046   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:15 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11220086 LI:#13336046   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:22 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11220086 LI:#13336046   20/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:25 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   63 Qed Ancient:#11220086 LI:#13336047   20/25 peers      5 MiB chain   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:34 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   64 Qed Ancient:#11220086 LI:#13336048   18/25 peers      5 MiB chain   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:35 UTC Syncing #13335984 0xf1c6…0128     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   64 Qed Ancient:#11220086 LI:#13336048   19/25 peers      5 MiB chain   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:44 UTC Syncing #13335985 0x417d…35c1     0.20 blk/s   69.2 tx/s    6.0 Mgas/s      0+   63 Qed Ancient:#11220087 LI:#13336048   19/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:46 UTC Syncing #13335985 0x417d…35c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   63 Qed Ancient:#11220087 LI:#13336048   19/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:07:55 UTC Syncing #13335985 0x417d…35c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   63 Qed Ancient:#11220087 LI:#13336048   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:00 UTC Syncing #13335987 0x33ac…d18f     0.40 blk/s   39.6 tx/s    3.4 Mgas/s      0+   61 Qed Ancient:#11220089 LI:#13336048   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:00 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11220089 LI:#13336048   19/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:05 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11220089 LI:#13336049   20/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:17 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11220089 LI:#13336049   20/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:17 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   62 Qed Ancient:#11220089 LI:#13336049   20/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:20 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   63 Qed Ancient:#11220089 LI:#13336050   19/25 peers      5 MiB chain   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:27 UTC Syncing #13335988 0x5c89…dce9     0.20 blk/s   51.8 tx/s    4.7 Mgas/s      0+   62 Qed Ancient:#11220090 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:33 UTC Syncing #13335989 0x43d9…eb1b     0.20 blk/s   22.6 tx/s    1.7 Mgas/s      0+   61 Qed Ancient:#11220091 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:36 UTC Syncing #13335990 0x5e49…2513     0.20 blk/s    5.2 tx/s    0.6 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:40 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   22/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:46 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   23/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:51 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   23/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:55 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   24/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:09:00 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   25/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
