2021-10-01 22:10:16 UTC Syncing #13335993 0xb2d7…6f65     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220095 LI:#13336053   20/25 peers      4 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:25 UTC Syncing #13335994 0x40ad…04f3     0.20 blk/s   33.4 tx/s    1.8 Mgas/s      0+   59 Qed Ancient:#11220096 LI:#13336053   20/25 peers      4 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:26 UTC Syncing #13335994 0x40ad…04f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#11220096 LI:#13336053   20/25 peers      4 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:30 UTC Syncing #13335994 0x40ad…04f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#11220096 LI:#13336053   17/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:41 UTC Syncing #13335995 0x5bde…b1e9     0.10 blk/s   17.4 tx/s    1.7 Mgas/s      0+   58 Qed Ancient:#11220097 LI:#13336053   19/25 peers      6 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:41 UTC Syncing #13335995 0x5bde…b1e9     0.20 blk/s   34.8 tx/s    3.4 Mgas/s      0+   58 Qed Ancient:#11220097 LI:#13336053   19/25 peers      6 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:47 UTC Syncing #13335996 0xa0ce…1614     0.20 blk/s   12.0 tx/s    1.6 Mgas/s      0+   57 Qed Ancient:#11220098 LI:#13336053   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:55 UTC Syncing #13335997 0x04a0…dfd3     0.20 blk/s   11.6 tx/s    0.7 Mgas/s      0+   56 Qed Ancient:#11220099 LI:#13336053   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:10:55 UTC Syncing #13335997 0x04a0…dfd3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#11220099 LI:#13336054   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:04 UTC Syncing #13335998 0x63bf…d227     0.20 blk/s   21.4 tx/s    2.7 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   15/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:05 UTC Syncing #13335998 0x63bf…d227     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:14 UTC Syncing #13335998 0x63bf…d227     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:15 UTC Syncing #13335998 0x63bf…d227     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:20 UTC Syncing #13335998 0x63bf…d227     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:26 UTC Syncing #13335998 0x63bf…d227     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220100 LI:#13336054   12/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:34 UTC Syncing #13335999 0xd9bd…1613     0.20 blk/s   61.6 tx/s    5.9 Mgas/s      0+   55 Qed Ancient:#11220101 LI:#13336054   12/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:36 UTC Syncing #13335999 0xd9bd…1613     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220101 LI:#13336054   11/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:40 UTC Syncing #13335999 0xd9bd…1613     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220101 LI:#13336054   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:45 UTC Syncing #13335999 0xd9bd…1613     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220101 LI:#13336054   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:57 UTC Syncing #13336000 0x8f79…2609     0.20 blk/s   51.8 tx/s    4.0 Mgas/s      0+   54 Qed Ancient:#11220102 LI:#13336054   14/25 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:11:57 UTC Syncing #13336000 0x8f79…2609     0.10 blk/s   25.9 tx/s    2.0 Mgas/s      0+   54 Qed Ancient:#11220102 LI:#13336054   14/25 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:00 UTC Syncing #13336000 0x8f79…2609     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220102 LI:#13336055   13/25 peers      6 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:05 UTC Syncing #13336000 0x8f79…2609     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#11220102 LI:#13336055   18/25 peers      6 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:14 UTC Syncing #13336001 0x3a0f…a9af     0.20 blk/s   48.6 tx/s    4.9 Mgas/s      0+   55 Qed Ancient:#11220103 LI:#13336055   18/25 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:22 UTC Syncing #13336003 0x6373…f796     0.20 blk/s   22.2 tx/s    1.7 Mgas/s      0+   53 Qed Ancient:#11220105 LI:#13336055   18/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:22 UTC Syncing #13336002 0xa417…fa08     0.20 blk/s   31.6 tx/s    2.4 Mgas/s      0+   54 Qed Ancient:#11220104 LI:#13336055   18/25 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:28 UTC Syncing #13336003 0x6373…f796     0.20 blk/s   12.8 tx/s    1.1 Mgas/s      0+   53 Qed Ancient:#11220105 LI:#13336055   18/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:31 UTC Syncing #13336003 0x6373…f796     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11220105 LI:#13336056   18/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:35 UTC Syncing #13336003 0x6373…f796     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220105 LI:#13336057   17/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:47 UTC Syncing #13336004 0xd58e…e77c     0.10 blk/s   20.9 tx/s    1.8 Mgas/s      0+   54 Qed Ancient:#11220106 LI:#13336057   15/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:47 UTC Syncing #13336004 0xd58e…e77c     0.20 blk/s   41.8 tx/s    3.6 Mgas/s      0+   54 Qed Ancient:#11220106 LI:#13336057   15/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:12:50 UTC Syncing #13336004 0xd58e…e77c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11220106 LI:#13336057   14/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:01 UTC Syncing #13336004 0xd58e…e77c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11220106 LI:#13336057   14/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:01 UTC Syncing #13336004 0xd58e…e77c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#11220106 LI:#13336057   14/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:13:06 UTC Syncing #13336004 0xd58e…e77c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#11220106 LI:#13336058   12/25 peers      4 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
