2021-05-09 11:50:28 UTC Syncing #12399809 0x695d…e973     0.20 blk/s   45.8 tx/s    3.0 Mgas/s      0+  189 Qed Ancient:#12154978 LI:#12399997   36/50 peers    144 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:33 UTC Syncing #12399809 0x695d…e973     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  189 Qed Ancient:#12154978 LI:#12399997   36/50 peers    144 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:38 UTC Syncing #12399810 0xdfab…cbfd     0.20 blk/s   51.8 tx/s    3.0 Mgas/s      0+  188 Qed Ancient:#12154978 LI:#12399997   36/50 peers    214 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:43 UTC Syncing #12399810 0xdfab…cbfd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  188 Qed Ancient:#12154978 LI:#12399997   36/50 peers    214 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:48 UTC Syncing #12399811 0x1df9…b3a5     0.20 blk/s   28.8 tx/s    3.0 Mgas/s      0+  187 Qed Ancient:#12154978 LI:#12399997   36/50 peers    215 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:53 UTC Syncing #12399812 0xb89e…b8d5     0.20 blk/s   40.0 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12154978 LI:#12399997   36/50 peers    215 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:50:58 UTC Syncing #12399813 0x40d2…9b97     0.20 blk/s   44.6 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12154978 LI:#12399997   36/50 peers    215 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:03 UTC Syncing #12399814 0xbcaf…1ec4     0.20 blk/s   40.0 tx/s    3.0 Mgas/s      0+  184 Qed Ancient:#12154978 LI:#12399997   36/50 peers    355 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:08 UTC Syncing #12399815 0x0a91…9492     0.20 blk/s   49.6 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12154978 LI:#12399997   36/50 peers    356 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:13 UTC Syncing #12399815 0x0a91…9492     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12154978 LI:#12399997   36/50 peers    356 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:18 UTC Syncing #12399816 0x325c…8898     0.20 blk/s   44.8 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12154978 LI:#12399998   36/50 peers    356 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:23 UTC Syncing #12399816 0x325c…8898     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  183 Qed Ancient:#12154978 LI:#12399998   36/50 peers    356 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:28 UTC Syncing #12399817 0xa1ab…7cca     0.20 blk/s   30.4 tx/s    3.0 Mgas/s      0+  182 Qed Ancient:#12154978 LI:#12399998   36/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:33 UTC Syncing #12399818 0xb835…ebde     0.20 blk/s   47.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12154978 LI:#12399998   37/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:38 UTC Syncing #12399818 0xb835…ebde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  181 Qed Ancient:#12154978 LI:#12399998   37/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:43 UTC Syncing #12399819 0xb08a…0c8f     0.20 blk/s   47.4 tx/s    3.0 Mgas/s      0+  181 Qed Ancient:#12154978 LI:#12399999   36/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:48 UTC Syncing #12399820 0x6731…87e4     0.20 blk/s   50.4 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12399999   36/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:53 UTC Syncing #12399820 0x6731…87e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12399999   36/50 peers    631 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:51:58 UTC Syncing #12399821 0xc530…c8b4     0.20 blk/s   76.6 tx/s    3.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12400000   36/50 peers    911 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:03 UTC Syncing #12399822 0x47ca…9c44     0.20 blk/s   59.4 tx/s    3.0 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400000   36/50 peers    912 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:08 UTC Syncing #12399823 0xafcf…5539     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400000   36/50 peers    912 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:13 UTC Syncing #12399823 0xafcf…5539     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400001   36/50 peers      3 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:18 UTC Syncing #12399824 0x6d6f…3b07     0.20 blk/s   32.4 tx/s    3.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400001   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:23 UTC Syncing #12399824 0x6d6f…3b07     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400001   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:28 UTC Syncing #12399825 0x651d…c9b0     0.20 blk/s   97.6 tx/s    2.9 Mgas/s      0+  178 Qed Ancient:#12154978 LI:#12400002   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:33 UTC Syncing #12399826 0x7b7e…1aed     0.20 blk/s   59.8 tx/s    2.8 Mgas/s      0+  179 Qed Ancient:#12154978 LI:#12400004   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:52:38 UTC Syncing #12399826 0x7b7e…1aed     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  180 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
