2021-09-21 21:32:24 UTC Syncing #13271598 0x6b55…d5ac     0.20 blk/s   79.6 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5498776 LI:#13271606   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:29 UTC Syncing #13271598 0x6b55…d5ac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5498776 LI:#13271607   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:34 UTC Syncing #13271599 0xa039…a81c     0.20 blk/s   38.8 tx/s    3.6 Mgas/s      0+    7 Qed Ancient:#5498777 LI:#13271607   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:39 UTC Syncing #13271600 0xea85…a62b     0.20 blk/s    9.4 tx/s    0.5 Mgas/s      0+    6 Qed Ancient:#5498778 LI:#13271607   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:44 UTC Syncing #13271600 0xea85…a62b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498778 LI:#13271608   23/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:49 UTC Syncing #13271601 0x7972…6236     0.20 blk/s   49.4 tx/s    3.2 Mgas/s      0+    6 Qed Ancient:#5498779 LI:#13271608   23/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:54 UTC Syncing #13271601 0x7972…6236     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498779 LI:#13271608   23/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:59 UTC Syncing #13271601 0x7972…6236     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498779 LI:#13271609   23/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:04 UTC Syncing #13271602 0x9a70…b804     0.20 blk/s   58.2 tx/s    3.8 Mgas/s      0+    7 Qed Ancient:#5498780 LI:#13271610   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:33:09 UTC Syncing #13271603 0xc5d5…b4dd     0.20 blk/s   25.6 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#5498780 LI:#13271610   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
