2021-09-21 21:42:38 UTC Syncing #13271636 0x7fc9…312b     0.20 blk/s   22.6 tx/s    1.4 Mgas/s      0+    9 Qed Ancient:#5502643 LI:#13271646    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:39 UTC Syncing #13271636 0x7fc9…312b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502643 LI:#13271647    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:44 UTC Syncing #13271637 0xc449…ac80     0.20 blk/s   28.0 tx/s    2.3 Mgas/s      0+    9 Qed Ancient:#5502644 LI:#13271647    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:52 UTC Syncing #13271638 0x52de…6643     0.20 blk/s   32.0 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:54 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:59 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:04 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:09 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502645 LI:#13271648    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:16 UTC Syncing #13271639 0x89fe…0e7a     0.20 blk/s   82.2 tx/s    5.8 Mgas/s      0+    8 Qed Ancient:#5502646 LI:#13271648    6/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:19 UTC Syncing #13271640 0x7567…0046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502646 LI:#13271649    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:25 UTC Syncing #13271642 0x70c9…2eb0     0.60 blk/s   30.2 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#5502649 LI:#13271649    6/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:29 UTC Syncing #13271642 0x70c9…2eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5502649 LI:#13271649    5/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:34 UTC Syncing #13271642 0x70c9…2eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5502649 LI:#13271650    4/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:39 UTC Syncing #13271642 0x70c9…2eb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502649 LI:#13271651    8/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:44 UTC Syncing #13271643 0x703b…ec22     0.20 blk/s   68.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5502650 LI:#13271652    8/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:52 UTC Syncing #13271643 0x703b…ec22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502650 LI:#13271652    8/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:43:57 UTC Syncing #13271645 0x5467…b407     0.40 blk/s   27.6 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#5502652 LI:#13271652    9/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:01 UTC Syncing #13271645 0x5467…b407     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5502652 LI:#13271652    9/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:04 UTC Syncing #13271645 0x5467…b407     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502652 LI:#13271653    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:11 UTC Syncing #13271646 0x9e85…ecf9     0.20 blk/s   44.4 tx/s    3.5 Mgas/s      0+    7 Qed Ancient:#5502653 LI:#13271653    8/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:14 UTC Syncing #13271647 0x8cae…0014     0.20 blk/s   20.0 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#5502654 LI:#13271653    8/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:19 UTC Syncing #13271647 0x8cae…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5502654 LI:#13271654    8/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:24 UTC Syncing #13271647 0x8cae…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502654 LI:#13271655    8/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:29 UTC Syncing #13271647 0x8cae…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502654 LI:#13271657   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:36 UTC Syncing #13271648 0xb497…7e97     0.20 blk/s   85.6 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#5502658 LI:#13271658   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:39 UTC Syncing #13271648 0xb497…7e97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5502658 LI:#13271659   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:45 UTC Syncing #13271648 0xb497…7e97     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5502658 LI:#13271659   20/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:52 UTC Syncing #13271650 0x287b…2f80     0.40 blk/s   32.8 tx/s    3.5 Mgas/s      0+   10 Qed Ancient:#5502661 LI:#13271660   20/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:54 UTC Syncing #13271650 0x287b…2f80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502661 LI:#13271660   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:44:59 UTC Syncing #13271650 0x287b…2f80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502661 LI:#13271660   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:05 UTC Syncing #13271650 0x287b…2f80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5502661 LI:#13271661   18/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:11 UTC Syncing #13271652 0xa6fd…d5fd     0.40 blk/s   45.4 tx/s    3.2 Mgas/s      0+    9 Qed Ancient:#5502663 LI:#13271661   18/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:14 UTC Syncing #13271653 0x1b0b…ad67     0.20 blk/s   55.2 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5502664 LI:#13271661   18/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:20 UTC Syncing #13271653 0x1b0b…ad67     0.20 blk/s   57.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5502665 LI:#13271662   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:22 UTC Reorg to #13271654 0x3ace…5daf (0x1b0b…ad67 #13271652 0xa6fd…d5fd 0x7a22…ef1e)
2021-09-21 21:45:28 UTC Syncing #13271654 0x3ace…5daf     0.20 blk/s   48.8 tx/s    4.8 Mgas/s      0+    7 Qed Ancient:#5502666 LI:#13271662   10/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:45:52 UTC Imported #13271662 0xcf4d…0b33 (60 txs, 10.04 Mgas, 2963 ms, 114.12 KiB)
2021-09-21 21:46:07 UTC Imported #13271663 0x304a…ee4a (336 txs, 29.54 Mgas, 7854 ms, 159.24 KiB)
2021-09-21 21:46:08 UTC  Ancient:#5504816 AB:#5506242    8/25 peers   432 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:46:39 UTC Syncing #13271663 0x304a…ee4a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506242 LI:#13271667   11/25 peers     74 KiB chain  716 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:46:44 UTC Syncing #13271663 0x304a…ee4a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5506242 LI:#13271668   14/25 peers     74 KiB chain  952 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:46:49 UTC Syncing #13271664 0x2dfe…d676     0.20 blk/s   71.4 tx/s    5.9 Mgas/s      0+    5 Qed Ancient:#5506243 LI:#13271669   12/25 peers    144 KiB chain  718 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:46:54 UTC Syncing #13271664 0x2dfe…d676     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5506243 LI:#13271671   12/25 peers    144 KiB chain  940 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:00 UTC Syncing #13271664 0x2dfe…d676     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5506243 LI:#13271671   10/25 peers    144 KiB chain  940 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:04 UTC Syncing #13271665 0xdfac…183c     0.20 blk/s   40.8 tx/s    5.1 Mgas/s      0+    7 Qed Ancient:#5506244 LI:#13271672   11/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:09 UTC Syncing #13271667 0x7ca1…07bd     0.20 blk/s    7.8 tx/s    0.5 Mgas/s      0+    7 Qed Ancient:#5506245 LI:#13271673   10/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:14 UTC Syncing #13271667 0x7ca1…07bd     0.40 blk/s   30.2 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5506248 LI:#13271673   12/25 peers    751 KiB chain  690 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:20 UTC Syncing #13271667 0x7ca1…07bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5506248 LI:#13271673   11/25 peers    751 KiB chain  690 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:25 UTC Syncing #13271668 0x0031…81c2     0.20 blk/s   29.6 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#5506249 LI:#13271674   13/25 peers    752 KiB chain  849 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:29 UTC Syncing #13271668 0x0031…81c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5506249 LI:#13271674   10/25 peers    752 KiB chain  849 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:34 UTC Syncing #13271669 0xc737…dd83     0.20 blk/s   19.8 tx/s    1.7 Mgas/s      0+    4 Qed Ancient:#5506250 LI:#13271674    9/25 peers    892 KiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:39 UTC Syncing #13271669 0xc737…dd83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506250 LI:#13271674   10/25 peers    892 KiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:44 UTC Syncing #13271669 0xc737…dd83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506250 LI:#13271674    9/25 peers    892 KiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:47:59 UTC Syncing #13271671 0x008e…6dfa     0.13 blk/s   11.7 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#5506252 LI:#13271676   14/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:48:04 UTC Syncing #13271671 0x008e…6dfa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5506252 LI:#13271676   14/25 peers    892 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
